Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,3Kvar,avgVolt,avgAmp,avgKw,avgKva,avgPf,avgTHD,avgKvar,peakKva,peakKw
8/7/2025 0:00,8/7/2025 0:59,Meter BSGN1-APF - CHILLER 1,286.03,81.6,21.58,23.18,95.6,36.38,21.87,290.67,86.43,22.88,24.96,93.77,37.96,27.17,286.49,79.85,20.5,22.73,92.73,39.59,26.85,287.73,82.63,64.96,70.87,94.03,37.98,75.89,78.9,72.2
8/7/2025 1:00,8/7/2025 1:59,Meter BSGN1-APF - CHILLER 1,285.99,78.48,20.74,22.27,95.34,37.11,21.52,290.5,82.66,21.84,23.85,94,38.79,25.5,286.39,77.53,19.89,22.03,92.84,40.11,25.84,287.62,79.55,62.47,68.15,94.06,38.67,72.87,77.5,71.2
8/7/2025 2:00,8/7/2025 2:59,Meter BSGN1-APF - CHILLER 1,285.43,80.74,21.24,22.86,95.12,36.73,22.77,289.7,85.32,22.61,24.52,94.32,38.22,25.72,285.96,80.83,20.79,22.96,92.88,39.02,27.08,287.03,82.3,64.65,70.35,94.11,37.99,75.57,79.3,73.1
8/7/2025 3:00,8/7/2025 3:59,Meter BSGN1-APF - CHILLER 1,285.62,81.1,21.37,22.99,95.17,36.41,22.66,290.19,85.27,22.6,24.55,94.37,37.92,25.69,286.25,80.89,20.8,22.98,92.85,38.72,27.19,287.35,82.42,64.77,70.52,94.13,37.68,75.55,78.1,72.4
8/7/2025 4:00,8/7/2025 4:59,Meter BSGN1-APF - CHILLER 1,285.7,77.95,20.46,22.1,95.21,36.85,21.74,290,82.45,21.81,23.75,94.24,38.3,24.92,286.13,77.52,19.89,22.01,92.79,39.23,26.14,287.27,79.31,62.17,67.86,94.08,38.12,72.8,75.3,70
8/7/2025 5:00,8/7/2025 5:59,Meter BSGN1-APF - CHILLER 1,285.7,81.11,21.35,23,95.12,36.06,22.99,289.95,85.75,22.71,24.68,94.25,37.41,26.06,286.26,81.21,20.87,23.09,92.87,38.01,27.27,287.3,82.69,64.92,70.78,94.08,37.16,76.33,74.8,69.5
8/7/2025 6:00,8/7/2025 6:59,Meter BSGN1-APF - CHILLER 1,286.73,78.75,20.84,22.43,95.16,36.31,22.11,291.16,82.92,22.02,23.99,94.24,37.9,25.19,287.2,78.59,20.22,22.41,92.82,38.58,26.39,288.36,80.09,63.07,68.82,94.07,37.59,73.69,79.6,73.1
8/7/2025 7:00,8/7/2025 7:59,Meter BSGN1-APF - CHILLER 1,286.49,78.88,20.75,22.43,95.04,36.84,22.33,290.83,83.34,22.14,24.07,94.3,38.36,25.19,286.92,79.03,20.25,22.53,92.61,38.96,26.97,288.08,80.42,63.15,69.03,93.99,38.05,74.49,78.8,73.1
8/7/2025 8:00,8/7/2025 8:59,Meter BSGN1-APF - CHILLER 1,284.32,81.31,21.35,22.95,95.33,36.11,22.42,288.82,86.23,22.73,24.75,94.26,36.81,26.3,284.95,80.94,20.65,22.9,92.51,38.19,27.89,286.03,82.83,64.73,70.6,94.03,37.03,76.6,77.5,71.3
8/7/2025 9:00,8/7/2025 9:59,Meter BSGN1-APF - CHILLER 1,282.98,79.5,20.76,22.33,95.41,36.65,21.81,287.51,85.03,22.36,24.28,94.38,37.37,25.61,283.81,80.03,20.3,22.56,92.5,39.05,27.47,284.76,81.52,63.42,69.18,94.1,37.69,74.89,77.4,72.1
8/7/2025 10:00,8/7/2025 10:59,Meter BSGN1-APF - CHILLER 1,280.98,83.51,21.69,23.29,95.5,35.57,22.76,285.56,88.58,23.03,25.13,94.14,36.47,27.47,281.84,82.91,20.92,23.21,92.58,38.34,28.48,282.79,85,65.64,71.63,94.07,36.79,78.7,76.6,70.3
8/7/2025 11:00,8/7/2025 11:59,Meter BSGN1-APF - CHILLER 1,280.31,85.18,22.14,23.7,95.86,35.28,22.17,285.22,90.77,23.58,25.71,93.96,35.65,28.62,281.26,83.46,20.9,23.29,92.18,38.53,29.28,282.26,86.47,66.62,72.69,94,36.49,80.06,78.2,72.8
8/7/2025 12:00,8/7/2025 12:59,Meter BSGN1-APF - CHILLER 1,279.74,87.22,22.69,24.24,96.03,34.89,22.38,284.84,93.67,24.21,26.52,93.78,35.14,30.08,280.57,85.46,21.38,23.82,92.07,38.54,30.21,281.72,88.78,68.28,74.57,93.96,36.19,82.67,78.8,72.8
8/7/2025 13:00,8/7/2025 13:59,Meter BSGN1-APF - CHILLER 1,278.9,85.53,22.14,23.68,96.31,35.39,21.09,284.3,92.65,23.89,26.16,93.66,35.36,29.87,279.91,83.04,20.61,23.07,91.84,39.38,29.67,281.04,87.08,66.65,72.91,93.94,36.71,80.62,78.9,72.1
8/7/2025 14:00,8/7/2025 14:59,Meter BSGN1-APF - CHILLER 1,278.95,85.05,22.11,23.55,96.61,35.51,20.08,284.46,92.1,23.65,26.03,93.2,35.62,30.55,279.69,80.85,20.02,22.45,91.84,40.16,28.69,281.03,86,65.78,72.04,93.88,37.1,79.33,78.9,73.1
8/7/2025 15:00,8/7/2025 15:59,Meter BSGN1-APF - CHILLER 1,278.69,85.93,22.34,23.8,96.73,35.74,19.91,284.4,92.72,23.84,26.21,93.04,35.68,31.31,279.56,81.26,20.04,22.56,91.66,40.37,29.06,280.88,86.63,66.22,72.57,93.81,37.26,80.28,78.1,71
8/7/2025 16:00,8/7/2025 16:59,Meter BSGN1-APF - CHILLER 1,278.42,88.04,22.93,24.35,96.69,35.7,20.5,283.99,95.01,24.3,26.81,92.98,35.46,32.19,279.13,82.9,20.42,23.01,91.63,40.26,29.78,280.51,88.65,67.64,74.18,93.77,37.14,82.47,78.6,71.8
8/7/2025 17:00,8/7/2025 17:59,Meter BSGN1-APF - CHILLER 1,279.58,87.4,22.96,24.27,96.84,36.02,19.84,285.26,94.62,24.26,26.81,92.9,35.53,32.22,280.18,82.12,20.26,22.83,91.51,40.94,29.58,281.67,88.05,67.49,73.91,93.75,37.5,81.65,79.6,72.8
8/7/2025 18:00,8/7/2025 18:59,Meter BSGN1-APF - CHILLER 1,281.15,88.67,23.37,24.75,96.81,35.86,20.23,286.93,95.16,24.51,27.12,92.68,36.09,32.89,281.53,82.69,20.54,23.09,91.71,41.07,29.35,283.21,88.84,68.42,74.95,93.73,37.67,82.47,79.2,72.8
8/7/2025 19:00,8/7/2025 19:59,Meter BSGN1-APF - CHILLER 1,283.02,88.28,23.38,24.83,96.77,36.03,20.3,288.76,94.9,24.63,27.23,92.75,36.12,32.58,283.42,82.16,20.6,23.14,91.79,41.1,29.22,285.06,88.45,68.61,75.19,93.77,37.75,82.1,79.1,72.8
8/7/2025 20:00,8/7/2025 20:59,Meter BSGN1-APF - CHILLER 1,283.01,86.44,22.86,24.29,96.64,36.22,20.12,288.65,91.43,23.64,26.21,92.65,37.2,31.37,283.31,79.75,20.11,22.43,92.28,41.38,27.38,284.99,85.88,66.61,72.92,93.86,38.27,78.87,79,72.9
8/7/2025 21:00,8/7/2025 21:59,Meter BSGN1-APF - CHILLER 1,284.16,88.12,23.34,24.88,96.43,35.61,21.28,289.61,93.23,24.35,26.84,92.92,36.91,31.55,284.49,82.42,21,23.28,92.45,40.51,28.16,286.09,87.92,68.68,74.99,93.93,37.67,80.99,78.2,72
8/7/2025 22:00,8/7/2025 22:59,Meter BSGN1-APF - CHILLER 1,285.8,84.86,22.67,24.08,96.34,36.45,20.78,291.27,90.99,23.95,26.33,93.18,37.41,30.13,286.37,80.99,20.72,23.04,92.16,41.28,28.1,287.82,85.61,67.34,73.46,93.89,38.38,79.01,79,73
8/7/2025 23:00,8/7/2025 23:59,Meter BSGN1-APF - CHILLER 1,286.14,84.51,22.5,24,96.13,36.17,21.23,291.29,89.83,23.7,26.02,93.3,37.36,29.5,286.67,81.51,20.87,23.21,92.37,40.36,27.8,288.03,85.29,67.07,73.22,93.93,37.97,78.53,79.8,74
8/8/2025 0:00,8/8/2025 0:59,Meter BSGN1-APF - CHILLER 1,285.44,86.27,22.88,24.47,95.87,36.09,22.4,290.25,91.83,24.24,26.49,93.71,36.88,29.28,286.07,84.05,21.49,23.88,92.44,39.8,28.85,287.25,87.38,68.62,74.84,94.01,37.59,80.53,79.3,73.1
8/8/2025 1:00,8/8/2025 1:59,Meter BSGN1-APF - CHILLER 1,286.2,83.64,22.27,23.78,95.7,36.11,22.16,291.11,89.36,23.78,25.84,94.1,36.99,27.61,287.09,82.91,21.26,23.64,92.4,39.35,28.57,288.13,85.3,67.31,73.27,94.07,37.48,78.34,78.3,72.2
8/8/2025 2:00,8/8/2025 2:59,Meter BSGN1-APF - CHILLER 1,285.84,83.62,22.09,23.75,95.48,35.8,22.78,290.41,89.33,23.67,25.76,94.23,36.8,27.25,286.65,83.45,21.43,23.74,92.57,38.6,28.56,287.63,85.46,67.2,73.25,94.09,37.07,78.59,78,72.1
8/8/2025 3:00,8/8/2025 3:59,Meter BSGN1-APF - CHILLER 1,286.15,78.99,20.84,22.43,95.43,36.77,21.46,290.72,84.13,22.37,24.3,94.34,37.99,25.32,287.03,78.98,20.22,22.5,92.58,39.6,26.91,287.97,80.7,63.43,69.24,94.12,38.12,73.69,79.1,73.1
8/8/2025 4:00,8/8/2025 4:59,Meter BSGN1-APF - CHILLER 1,286.2,81.01,21.56,23.01,95.31,36.15,22.37,290.55,86.23,22.88,24.87,94.34,37.31,26.04,286.83,81.15,20.79,23.12,92.58,38.67,27.76,287.86,82.8,65.23,71.01,94.08,37.38,76.16,76.6,70.5
8/8/2025 5:00,8/8/2025 5:59,Meter BSGN1-APF - CHILLER 1,285.66,82.12,21.64,23.3,95.3,35.71,22.75,290.08,87.1,23.13,25.08,94.36,36.76,26.34,286.3,82.36,21.06,23.43,92.64,38.17,28.07,287.35,83.86,65.84,71.81,94.1,36.88,77.16,78.3,73.1
