3Kvar,End Time,Meter,Start Time,avgAmp,avgKva,avgKvar,avgKw,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kw,l3Pf,l3THD,l3Volt,peakKva,peakKw
29.03,2025-08-07 00:14:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 00:00:00,88.16,75.49,81.35,69.11,93.97,37.20,287.34,87.17,24.71,23.18,22.95,95.63,35.81,285.57,92.21,26.57,29.14,24.43,93.76,36.90,290.40,85.12,24.21,21.73,92.52,38.91,286.03,78.90,72.20
23.64,2025-08-07 00:29:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 00:15:00,74.08,63.53,67.15,58.10,94.06,39.82,287.59,73.30,20.85,18.95,19.38,95.85,37.81,285.98,77.66,22.42,24.57,20.48,93.60,39.79,290.55,71.28,20.25,18.24,92.74,41.85,286.24,74.60,69.10
27.83,2025-08-07 00:44:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 00:30:00,85.47,73.30,78.91,67.50,94.05,37.24,287.71,84.25,23.93,23.35,22.38,95.33,35.86,285.96,89.01,25.69,27.73,23.57,93.93,37.33,290.51,83.14,23.69,21.55,92.89,38.53,286.66,77.10,71.20
26.90,2025-08-07 00:59:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 00:45:00,82.80,71.17,76.13,65.13,94.05,37.64,288.28,81.67,23.24,21.99,21.62,95.58,36.04,286.62,86.85,25.17,27.23,23.03,93.80,37.81,291.21,79.88,22.76,20.47,92.77,39.08,287.01,76.00,70.30
25.03,2025-08-07 01:14:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 01:00:00,77.94,66.95,71.31,61.15,94.06,38.71,288.48,76.90,21.87,20.96,20.35,95.42,36.91,286.89,81.34,23.57,25.32,21.46,93.82,38.99,291.48,75.59,21.51,19.35,92.93,40.22,287.07,70.90,64.30
28.01,2025-08-07 01:29:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 01:15:00,84.92,72.92,78.39,67.01,94.04,37.42,288.05,83.40,23.70,23.54,22.11,95.12,36.20,286.41,87.86,25.38,26.83,23.30,94.19,37.48,290.70,83.50,23.84,21.60,92.81,38.59,287.04,75.00,69.30
23.86,2025-08-07 01:44:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 01:30:00,74.01,63.13,67.27,57.70,94.06,40.18,286.89,73.12,20.69,19.70,19.20,95.43,38.58,285.21,76.98,22.11,23.71,20.20,93.95,40.27,289.86,71.92,20.33,18.30,92.81,41.67,285.59,71.30,64.70
26.47,2025-08-07 01:59:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 01:45:00,81.35,69.61,74.51,64.01,94.08,38.37,287.07,80.48,22.83,21.89,21.30,95.41,36.75,285.43,84.47,24.33,26.15,22.41,94.02,38.43,289.95,79.09,22.45,20.30,92.83,39.94,285.85,77.50,71.20
28.23,2025-08-07 02:14:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 02:00:00,84.86,72.46,78.41,66.65,94.06,37.35,286.73,83.23,23.51,23.08,21.88,95.32,36.03,284.99,88.19,25.34,27.11,23.34,94.17,37.36,289.42,83.17,23.61,21.43,92.69,38.65,285.77,79.30,73.10
28.51,2025-08-07 02:29:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 02:15:00,86.72,74.09,80.01,68.14,94.10,37.18,286.83,85.17,24.13,24.39,22.41,95.00,35.85,285.19,89.73,25.77,27.11,23.74,94.32,37.50,289.50,85.24,24.20,21.99,92.97,38.19,285.79,77.30,71.10
27.04,2025-08-07 02:44:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 02:30:00,82.54,70.61,75.75,65.03,94.12,37.83,287.08,81.08,22.98,22.99,21.37,95.07,36.67,285.65,85.61,24.61,25.72,22.74,94.31,38.19,289.60,80.93,23.01,20.91,92.97,38.64,286.01,73.60,67.70
24.55,2025-08-07 02:59:59,Meter BSGN1-APF - CHILLER 1,2025-08-07 02:45:00,75.06,64.23,68.08,58.77,94.16,39.58,287.47,73.49,20.84,20.59,19.31,95.10,38.35,285.88,77.73,22.37,22.93,20.63,94.47,39.81,290.27,73.97,21.01,18.84,92.89,40.59,286.25,66.00,60.90
