3Kvar,End Time,Meter,Start Time,avgAmp,avgKva,avgKvar,avgKw,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kw,l3Pf,l3THD,l3Volt,peakKva,peakKw
25.42,11/21/2025 0:14,Meter BSGN1-APF - CHILLER 1,11/21/2025 0:00,118.85,103.53,82.44,98.6,97.2,2.11,292.21,120.33,34.67,31.54,32.73,96.43,1.8,289.97,117.33,34.39,25.48,32.87,97.55,2.06,294.81,118.87,34.47,33,97.61,2.47,291.85,104.1,99.6
25.01,11/21/2025 0:29,Meter BSGN1-APF - CHILLER 1,11/21/2025 0:15,118.85,103.62,81.94,98.73,97.23,2.14,292.22,120.77,34.89,31.84,32.87,96.37,1.85,290.23,116.96,34.31,25.09,32.93,97.61,2.07,294.62,118.82,34.43,32.93,97.7,2.5,291.8,104.3,99.6
23.54,11/21/2025 0:44,Meter BSGN1-APF - CHILLER 1,11/21/2025 0:30,116.72,101.63,77,96.99,97.45,2.21,291.88,118.24,34.1,29.9,32.24,96.67,1.83,289.79,115.08,33.71,23.56,32.41,97.81,2.21,294.31,116.83,33.83,32.34,97.87,2.59,291.53,104,99.6
20.97,11/21/2025 0:59,Meter BSGN1-APF - CHILLER 1,11/21/2025 0:45,114,99.21,70.07,94.94,97.78,2.3,291.95,115.68,33.31,27.57,31.7,97.03,1.85,289.99,112.07,32.79,21.52,31.39,98.08,2.35,294.26,114.25,33.12,31.85,98.23,2.7,291.61,105.3,100.6
25.03,11/21/2025 1:14,Meter BSGN1-APF - CHILLER 1,11/21/2025 1:00,119.61,104.33,82.46,99.53,97.23,2.09,292.25,121.67,35.14,32.03,33.33,96.39,1.8,290.43,117.69,34.55,25.4,33.07,97.57,2.05,294.57,119.47,34.64,33.13,97.72,2.41,291.74,105.1,100.6
25.66,11/21/2025 1:29,Meter BSGN1-APF - CHILLER 1,11/21/2025 1:15,119.4,104.2,82.84,99.46,97.18,2.16,292.44,120.34,34.74,32.16,32.96,96.29,1.89,290.34,118.32,34.76,25.02,33.21,97.64,2.1,294.96,119.54,34.7,33.29,97.61,2.49,292.03,104.6,99.6
25.33,11/21/2025 1:44,Meter BSGN1-APF - CHILLER 1,11/21/2025 1:30,118.88,103.69,82.25,98.8,97.2,2.17,292.42,120.91,34.91,31.85,33,96.35,1.79,290.39,116.97,34.29,25.07,32.73,97.61,2.22,294.88,118.74,34.49,33.07,97.65,2.5,291.98,104.2,99.6
25.21,11/21/2025 1:59,Meter BSGN1-APF - CHILLER 1,11/21/2025 1:45,119.13,103.9,82.45,99,97.2,2.18,292.37,120.73,34.87,32.08,32.93,96.33,1.85,290.36,117.23,34.37,25.16,32.8,97.59,2.18,294.67,119.43,34.67,33.27,97.68,2.49,292.07,104.5,99.6
25.63,11/21/2025 2:14,Meter BSGN1-APF - CHILLER 1,11/21/2025 2:00,118.81,103.8,83.04,99,97.14,2.19,292.74,120.15,34.77,32.17,32.8,96.27,1.85,290.85,117.37,34.43,25.24,33,97.57,2.13,294.98,118.9,34.6,33.2,97.6,2.57,292.38,104.6,99.6
21.97,11/21/2025 2:29,Meter BSGN1-APF - CHILLER 1,11/21/2025 2:15,113.49,99.16,72.05,94.68,97.63,2.27,292.87,114.95,33.25,28.37,31.55,96.81,1.95,291,111.91,32.89,21.71,31.5,98.01,2.17,295.23,113.6,33.02,31.63,98.05,2.67,292.37,105.2,100.6
25.69,11/21/2025 2:44,Meter BSGN1-APF - CHILLER 1,11/21/2025 2:30,119.39,104.29,83.49,99.53,97.15,2.2,292.71,120.89,35.01,32.47,33.2,96.25,1.86,290.86,117.49,34.45,25.32,32.93,97.58,2.21,294.94,119.8,34.83,33.4,97.61,2.53,292.34,105.5,100.6
25.69,11/21/2025 2:59,Meter BSGN1-APF - CHILLER 1,11/21/2025 2:45,118.57,103.51,83.19,98.53,97.12,2.11,292.8,119.69,34.6,32.32,32.67,96.21,1.8,290.79,116.74,34.22,25.18,32.8,97.58,2.02,295.13,119.27,34.69,33.07,97.57,2.51,292.49,104.2,99.6
25.89,11/21/2025 3:14,Meter BSGN1-APF - CHILLER 1,11/21/2025 3:00,118.49,103.5,82.6,98.6,97.17,2.17,292.66,119.84,34.65,31.8,32.67,96.32,1.85,290.56,116.79,34.29,24.91,32.79,97.66,2.1,295.16,118.83,34.56,33.14,97.53,2.56,292.26,104.2,99.6
25.43,11/21/2025 3:29,Meter BSGN1-APF - CHILLER 1,11/21/2025 3:15,118.38,103.16,82.11,98.53,97.19,2.14,292.34,120.15,34.68,31.84,33,96.31,1.82,290.41,116.65,34.17,24.83,32.67,97.63,2.1,294.71,118.33,34.31,32.87,97.61,2.51,291.91,104.1,99.6
25.22,11/21/2025 3:44,Meter BSGN1-APF - CHILLER 1,11/21/2025 3:30,118.4,103.33,82.05,98.4,97.19,2.19,292.37,119.82,34.64,32.09,32.73,96.26,1.69,290.38,116.23,34.11,24.73,32.6,97.65,2.21,294.75,119.15,34.58,33.07,97.65,2.67,291.97,103.7,99.6
20.31,11/21/2025 3:59,Meter BSGN1-APF - CHILLER 1,11/21/2025 3:45,111.41,97.22,66.98,93.15,97.85,2.31,292.44,113.36,32.73,26.51,31.22,97.11,1.93,290.46,109.43,32.09,20.16,30.81,98.21,2.33,294.8,111.43,32.4,31.12,98.24,2.66,292.07,103,98.9
24.24,11/21/2025 4:14,Meter BSGN1-APF - CHILLER 1,11/21/2025 4:00,118.24,102.97,78.53,98.47,97.43,2.19,291.96,120.41,34.74,30.63,32.81,96.6,1.86,289.86,116.16,33.98,23.66,32.61,97.86,2.16,294.47,118.15,34.25,33.04,97.84,2.54,291.54,103.8,99.6
