End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2025-11-02 00:00:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:00:00,116.43,92.90,32.77,289.83,112.10,32.30,37.30,29.80,93.40,33.20,288.60,120.40,35.00,37.90,32.90,94.00,32.80,292.30,116.80,33.40,44.40,30.00,91.30,32.30,288.60,100.70,119.60,92.70
2025-11-02 00:01:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:01:00,116.63,92.97,32.73,289.80,113.50,32.50,37.30,29.80,93.50,32.60,288.70,120.00,34.90,38.20,31.60,93.90,32.70,291.80,116.40,33.40,43.60,30.00,91.50,32.90,288.90,100.80,119.10,91.40
2025-11-02 00:02:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:02:00,115.17,93.03,32.70,289.73,111.90,32.00,37.10,28.80,93.50,32.60,288.30,118.10,34.30,37.70,32.00,94.00,32.80,291.60,115.50,33.20,43.20,30.00,91.60,32.70,289.30,99.50,118.00,90.80
2025-11-02 00:03:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:03:00,117.67,92.93,32.43,289.87,114.80,32.80,38.30,29.80,93.30,32.70,288.30,120.80,34.90,38.60,31.60,93.90,32.40,291.80,117.40,33.80,44.20,30.00,91.60,32.20,289.50,101.50,121.10,91.40
2025-11-02 00:04:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:04:00,117.57,92.90,32.73,289.90,113.80,32.40,38.00,29.80,93.40,32.40,287.90,121.00,35.30,38.70,32.50,93.90,33.30,292.20,117.90,33.80,44.50,30.00,91.40,32.50,289.60,101.50,121.20,92.30
2025-11-02 00:05:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:05:00,119.17,92.93,32.33,289.90,116.10,33.40,38.00,30.70,93.60,32.30,288.80,122.70,35.60,39.80,32.50,93.70,32.60,292.00,118.70,34.00,44.40,30.00,91.50,32.10,288.90,103.00,122.20,93.20
2025-11-02 00:06:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:06:00,118.00,92.93,32.53,289.77,114.80,32.80,37.80,29.80,93.50,32.30,288.60,121.70,35.20,39.20,32.50,93.80,32.50,291.70,117.50,33.80,44.20,30.00,91.50,32.80,289.00,101.80,121.20,92.30
2025-11-02 00:07:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:07:00,115.67,93.00,32.70,289.90,112.70,32.30,37.60,29.80,93.40,32.70,288.90,118.80,34.30,38.10,31.60,93.80,32.60,291.80,115.50,33.20,42.80,30.00,91.80,32.80,289.00,99.80,118.50,91.40
2025-11-02 00:08:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:08:00,113.67,93.00,32.87,289.93,111.10,32.00,37.10,28.80,93.40,32.50,288.90,116.30,33.80,37.60,30.70,93.80,33.30,291.70,113.60,32.70,42.00,29.10,91.80,32.80,289.20,98.50,116.70,88.60
2025-11-02 00:09:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:09:00,115.27,92.97,32.90,289.97,112.40,32.30,37.60,29.80,93.30,32.60,288.40,118.10,34.30,37.80,31.60,93.90,33.50,291.90,115.30,33.20,42.80,30.00,91.70,32.60,289.60,99.80,118.20,91.40
2025-11-02 00:10:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:10:00,115.83,92.97,32.97,289.77,112.90,32.30,37.80,29.80,93.40,33.10,288.70,118.70,34.30,38.10,31.60,93.80,32.70,291.60,115.90,33.20,43.00,30.00,91.70,33.10,289.00,99.80,118.90,91.40
2025-11-02 00:11:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:11:00,115.87,93.00,32.57,289.83,112.70,32.10,37.90,29.80,93.20,32.10,287.80,118.40,34.50,37.30,32.00,94.10,33.10,292.40,116.50,33.50,43.60,30.00,91.70,32.50,289.30,100.10,118.80,91.80
2025-11-02 00:12:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:12:00,117.67,92.93,32.67,289.80,114.70,32.80,38.40,29.80,93.30,32.40,288.80,120.50,34.90,38.90,31.60,93.80,33.10,291.60,117.80,33.80,43.80,30.00,91.70,32.50,289.00,101.50,121.10,91.40
2025-11-02 00:13:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:13:00,117.03,92.97,33.07,289.87,113.40,32.40,38.10,29.80,93.20,33.40,287.70,119.90,34.70,37.50,32.00,94.20,33.10,292.50,117.80,33.80,44.40,30.00,91.50,32.70,289.40,100.90,120.00,91.80
2025-11-02 00:14:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:14:00,119.10,92.97,32.63,289.93,116.10,33.40,38.70,30.70,93.30,32.50,288.40,122.00,35.50,38.80,32.90,94.00,32.80,291.80,119.20,34.40,44.80,30.90,91.60,32.60,289.60,103.30,122.30,94.50
2025-11-02 00:15:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:15:00,118.40,92.93,32.83,289.77,115.40,33.00,38.30,30.70,93.40,32.90,287.90,121.20,35.30,38.70,32.90,94.00,32.90,292.60,118.60,34.00,45.00,30.00,91.40,32.70,288.80,102.30,122.00,93.60
2025-11-02 00:16:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:16:00,119.60,92.93,32.80,289.90,116.40,33.40,38.70,30.70,93.40,32.80,288.10,122.90,35.60,39.10,32.90,94.00,32.80,292.70,119.50,34.30,45.30,30.90,91.40,32.80,288.90,103.30,123.10,94.50
2025-11-02 00:17:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:17:00,119.07,92.90,32.23,289.67,116.10,33.40,38.10,30.70,93.60,31.80,288.20,122.40,35.50,40.00,32.50,93.70,32.30,291.70,118.70,34.10,44.70,30.90,91.40,32.60,289.10,103.00,122.80,94.10
2025-11-02 00:18:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:18:00,118.77,92.97,32.60,289.73,115.60,33.00,38.50,30.70,93.30,32.30,287.70,121.60,35.30,38.70,32.90,94.00,33.00,292.30,119.10,34.40,44.60,30.90,91.60,32.50,289.20,102.70,121.80,94.50
2025-11-02 00:19:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:19:00,118.27,92.90,33.00,289.80,115.20,33.10,38.30,30.70,93.40,32.80,288.70,121.30,35.20,39.30,32.50,93.70,33.50,291.80,118.30,34.00,44.20,30.00,91.60,32.70,288.90,102.30,121.80,93.20
2025-11-02 00:20:59,Meter BSGN1-APF - CHILLER 1,2025-11-02 00:20:00,115.47,92.97,32.47,289.70,112.10,32.10,37.30,29.80,93.40,32.50,287.80,118.20,34.50,37.70,32.00,94.00,32.80,292.50,116.10,33.40,43.50,30.00,91.50,32.10,288.80,100.00,118.50,91.80
