End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2026-01-06 00:00:59,Meter 1,2026-01-06 00:00:00,138.69,90.11,25.07,214.25,137.93,16.85,6.44,14.96,91.86,26.51,214.61,145.05,18.09,7.99,15.79,89.22,21.36,214.46,133.10,16.53,7.19,14.24,89.26,27.34,213.68,51.48,21.62,44.98
2026-01-06 00:01:59,Meter 1,2026-01-06 00:01:00,145.00,90.07,27.54,214.27,150.77,18.41,6.86,16.36,92.22,27.72,214.54,140.47,17.52,7.71,15.22,89.20,23.47,214.55,143.75,17.86,7.84,15.13,88.79,31.43,213.72,53.80,22.42,46.71
2026-01-06 00:02:59,Meter 1,2026-01-06 00:02:00,136.51,87.80,18.45,214.30,135.25,16.52,7.62,14.34,88.31,18.73,214.46,137.86,17.19,8.21,14.84,87.50,16.55,214.63,136.42,16.96,8.03,14.57,87.59,20.09,213.81,50.68,23.85,43.75
2026-01-06 00:03:59,Meter 1,2026-01-06 00:03:00,128.45,90.63,30.03,214.46,131.00,16.01,5.98,14.12,92.09,29.88,214.66,124.31,15.52,6.82,13.23,88.89,29.54,214.84,130.06,16.18,6.44,14.07,90.92,30.68,213.86,47.71,19.24,41.42
2026-01-06 00:04:59,Meter 1,2026-01-06 00:04:00,130.06,90.02,27.50,214.12,135.27,16.51,6.63,14.53,90.97,26.17,214.26,123.44,15.38,6.98,13.12,88.27,26.70,214.44,131.48,16.34,6.56,14.22,90.80,29.63,213.65,48.22,20.17,41.87
2026-01-06 00:05:59,Meter 1,2026-01-06 00:05:00,140.83,87.33,19.20,213.93,145.42,17.73,7.86,15.53,89.23,19.34,214.17,134.96,16.81,8.65,14.10,85.24,18.21,214.24,142.09,17.63,8.36,15.13,87.52,20.06,213.38,52.17,24.87,44.76
2026-01-06 00:06:59,Meter 1,2026-01-06 00:06:00,117.41,83.94,35.13,214.28,121.29,14.81,7.37,11.99,85.20,32.90,214.49,109.55,13.66,7.58,10.53,81.16,32.88,214.55,121.39,15.09,7.29,11.99,85.46,39.61,213.81,43.57,22.23,34.51
2026-01-06 00:07:59,Meter 1,2026-01-06 00:07:00,111.40,90.59,21.93,214.53,113.81,13.92,5.03,12.60,92.87,22.95,214.73,110.17,13.75,6.29,11.92,88.44,20.50,214.77,110.21,13.72,5.71,12.11,90.45,22.33,214.10,41.39,17.03,36.62
2026-01-06 00:08:59,Meter 1,2026-01-06 00:08:00,90.69,90.76,36.97,214.58,97.58,11.94,4.60,10.23,91.18,36.58,214.88,82.62,10.32,4.34,8.83,89.77,31.60,214.72,91.88,11.43,4.28,9.60,91.34,42.74,214.16,33.69,13.22,28.66
2026-01-06 00:09:59,Meter 1,2026-01-06 00:09:00,92.31,86.70,34.03,214.62,97.15,11.90,5.09,10.07,89.27,33.43,214.89,88.36,11.03,5.71,9.06,84.61,24.59,214.67,91.42,11.38,5.28,8.98,86.21,44.06,214.32,34.31,16.07,28.11
2026-01-06 00:10:59,Meter 1,2026-01-06 00:10:00,98.75,87.09,27.70,214.58,104.99,12.85,5.15,11.37,91.09,24.40,214.85,91.28,11.39,5.89,9.24,84.30,28.43,214.68,99.98,12.44,6.10,10.23,85.89,30.27,214.21,36.69,17.15,30.84
2026-01-06 00:11:59,Meter 1,2026-01-06 00:11:00,97.21,90.39,32.77,214.54,100.47,12.29,5.08,10.59,90.18,30.91,214.88,80.44,10.04,4.13,8.44,89.79,37.80,214.67,110.72,13.77,5.42,12.05,91.21,29.59,214.08,36.11,14.63,31.07
2026-01-06 00:12:59,Meter 1,2026-01-06 00:12:00,138.66,87.50,22.85,214.17,152.14,18.58,8.37,16.18,88.83,19.99,214.32,122.17,15.22,7.31,12.84,86.90,24.76,214.42,141.66,17.61,8.52,14.86,86.76,23.80,213.78,51.41,24.19,43.88
