End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2022-03-02 00:00:59,DCF Meter,2022-03-02 00:00:00,183.66666666666666,96.66666666666667,0,506,221,64,9,62,97,0,504,168,49,7,48,97,0,505,162,47,10,45,96,0,509,160,26,155
2022-03-02 00:01:59,DCF Meter,2022-03-02 00:01:00,221.33333333333334,81,0,508,252,73,35,63,85,0,506,205,60,33,49,81,0,507,207,60,37,46,77,0,511,193,105,158
2022-03-02 00:02:59,DCF Meter,2022-03-02 00:02:00,221.33333333333334,80.33333333333333,0,507.6666666666667,255,74,35,63,85,0,506,203,60,33,48,80,0,507,206,60,37,46,76,0,510,194,105,157
2022-03-02 00:03:59,DCF Meter,2022-03-02 00:03:00,226.33333333333334,81.66666666666667,0,507.3333333333333,261,76,35,66,86,0,506,207,61,32,50,82,0,506,211,61,37,47,77,0,510,198,104,163
2022-03-02 00:04:59,DCF Meter,2022-03-02 00:04:00,228.66666666666666,82,0,507.6666666666667,260,75,35,65,86,0,506,212,62,33,52,83,0,507,214,62,37,48,77,0,510,199,105,165
2022-03-02 00:05:59,DCF Meter,2022-03-02 00:05:00,234,82.66666666666667,0,507.6666666666667,266,77,35,67,87,0,506,218,64,33,54,83,0,507,218,63,37,50,78,0,510,204,105,171
2022-03-02 00:06:59,DCF Meter,2022-03-02 00:06:00,239.33333333333334,83,0,507.3333333333333,274,80,36,69,87,0,506,223,65,33,55,84,0,506,221,64,38,50,78,0,510,209,107,174
2022-03-02 00:07:59,DCF Meter,2022-03-02 00:07:00,242.66666666666666,83.66666666666667,0,507.6666666666667,276,80,36,70,87,0,505,227,67,33,57,85,0,507,225,65,38,52,79,0,511,212,107,179
2022-03-02 00:08:59,DCF Meter,2022-03-02 00:08:00,240.66666666666666,83,0,508,272,79,36,69,86,0,506,227,67,34,56,84,0,507,223,65,37,51,79,0,511,211,107,176
2022-03-02 00:09:59,DCF Meter,2022-03-02 00:09:00,237.33333333333334,82.66666666666667,0,504.6666666666667,267,77,36,67,86,0,503,225,66,34,55,83,0,504,220,63,37,50,79,0,507,206,107,172
2022-03-02 00:10:59,DCF Meter,2022-03-02 00:10:00,236.33333333333334,82.66666666666667,0,504.6666666666667,267,77,36,67,86,0,503,223,65,34,55,83,0,504,219,63,37,50,79,0,507,205,107,172
2022-03-02 00:11:59,DCF Meter,2022-03-02 00:11:00,236,83.33333333333333,0,504.6666666666667,266,77,35,67,87,0,503,223,65,33,55,84,0,504,219,63,37,50,79,0,507,205,105,172
2022-03-02 00:12:59,DCF Meter,2022-03-02 00:12:00,239.66666666666666,83.33333333333333,0,504.6666666666667,270,78,35,68,87,0,503,226,66,34,55,84,0,504,223,64,37,51,79,0,507,208,106,174
2022-03-02 00:13:59,DCF Meter,2022-03-02 00:13:00,238.66666666666666,83.33333333333333,0,504.6666666666667,269,78,35,68,87,0,503,224,65,33,55,84,0,504,223,64,37,51,79,0,507,207,105,174
2022-03-02 00:14:59,DCF Meter,2022-03-02 00:14:00,238,83.33333333333333,0,504.3333333333333,268,77,35,67,87,0,503,224,65,33,55,84,0,503,222,64,37,51,79,0,507,206,105,173
2022-03-02 00:15:59,DCF Meter,2022-03-02 00:15:00,232.33333333333334,79.33333333333333,0,504.6666666666667,260,75,38,63,84,0,503,220,64,37,51,79,0,504,217,63,39,47,75,0,507,202,114,161
2022-03-02 00:16:59,DCF Meter,2022-03-02 00:16:00,233.33333333333334,79.66666666666667,0,504.6666666666667,259,75,38,63,84,0,503,223,65,37,52,79,0,504,218,63,39,48,76,0,507,203,114,163
