Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2025-11-07 00:00:00,2025-11-07 00:00:59,PQM,279.69,1387.04,381.43,386.44,98.70,14.14,29.22,268.26,1341.14,341.93,359.59,95.09,14.55,96.20,302.93,1432.93,419.57,434.78,96.50,13.41,95.47,283.63,1387.04,1142.92,1180.82,96.76,14.03,220.89
2025-11-07 00:01:00,2025-11-07 00:01:59,PQM,279.76,1386.55,382.23,387.40,98.67,14.11,31.36,268.35,1354.99,344.84,363.37,94.90,14.45,98.76,303.03,1438.64,421.92,437.57,96.42,13.32,96.31,283.71,1393.39,1149.00,1188.35,96.66,13.96,226.43
2025-11-07 00:02:00,2025-11-07 00:02:59,PQM,279.96,1358.53,375.37,380.35,98.69,14.36,24.83,268.61,1317.59,339.05,355.75,95.31,14.82,91.22,303.30,1410.58,414.13,428.41,96.67,13.66,89.27,283.96,1362.23,1128.55,1164.51,96.89,14.28,205.32
2025-11-07 00:03:00,2025-11-07 00:03:59,PQM,279.83,1380.23,378.64,383.66,98.69,14.32,28.96,268.44,1343.45,341.99,360.04,94.99,14.66,96.69,303.06,1433.96,418.76,433.57,96.59,13.53,93.78,283.77,1385.88,1139.39,1177.27,96.76,14.17,219.43
2025-11-07 00:04:00,2025-11-07 00:04:59,PQM,279.97,1360.36,375.10,380.26,98.64,14.31,27.09,268.53,1325.11,340.44,357.73,95.17,14.66,95.46,303.09,1415.97,416.04,430.09,96.73,13.57,90.51,283.86,1367.15,1131.57,1168.07,96.85,14.18,213.06
2025-11-07 00:05:00,2025-11-07 00:05:59,PQM,279.89,1363.33,376.36,382.14,98.49,14.24,27.02,268.57,1323.56,341.29,358.94,95.08,14.57,94.57,303.09,1417.31,416.63,430.94,96.68,13.46,91.02,283.85,1368.07,1134.28,1172.02,96.75,14.09,212.61
2025-11-07 00:06:00,2025-11-07 00:06:59,PQM,279.89,1372.67,376.97,382.60,98.53,14.25,31.16,268.66,1349.81,345.09,363.24,95.00,14.43,97.06,303.26,1419.07,417.71,432.24,96.64,13.37,91.16,283.94,1380.52,1139.78,1178.08,96.72,14.02,219.39
2025-11-07 00:07:00,2025-11-07 00:07:59,PQM,279.78,1373.98,381.15,387.15,98.45,13.89,31.24,268.44,1340.57,345.78,363.93,95.01,14.13,97.75,302.99,1431.37,420.22,435.28,96.54,13.11,94.73,283.74,1381.97,1147.15,1186.36,96.67,13.71,223.71
2025-11-07 00:08:00,2025-11-07 00:08:59,PQM,279.83,1370.11,379.66,385.20,98.56,14.08,27.95,268.50,1338.36,344.26,361.71,95.18,14.39,95.13,303.07,1424.31,419.32,433.94,96.63,13.25,91.82,283.80,1377.59,1143.24,1180.84,96.79,13.91,214.90
2025-11-07 00:09:00,2025-11-07 00:09:59,PQM,279.91,1375.75,377.38,382.79,98.59,14.16,27.76,268.54,1330.31,340.68,357.73,95.23,14.61,93.19,303.18,1421.60,415.38,429.74,96.66,13.44,91.96,283.88,1375.89,1133.44,1170.27,96.83,14.07,212.90
2025-11-07 00:10:00,2025-11-07 00:10:59,PQM,279.94,1369.54,377.16,382.34,98.65,14.21,27.30,268.50,1329.51,340.88,358.13,95.18,14.55,94.38,303.18,1420.65,416.80,430.87,96.73,13.37,91.53,283.87,1373.23,1134.84,1171.35,96.85,14.04,213.21
2025-11-07 00:11:00,2025-11-07 00:11:59,PQM,279.98,1378.51,380.37,386.02,98.54,13.99,28.84,268.51,1329.96,342.18,359.95,95.06,14.44,96.00,303.27,1428.50,419.21,434.20,96.55,13.27,94.92,283.92,1378.99,1141.76,1180.17,96.72,13.90,219.75
2025-11-07 00:12:00,2025-11-07 00:12:59,PQM,280.03,1367.85,378.36,384.05,98.52,14.14,28.20,268.59,1331.33,342.08,359.24,95.22,14.49,94.50,303.31,1423.76,416.95,431.63,96.60,13.34,92.23,283.97,1374.31,1137.38,1174.92,96.78,13.99,214.93
2025-11-07 00:13:00,2025-11-07 00:13:59,PQM,280.15,1350.82,375.14,380.77,98.52,14.48,26.15,268.74,1314.33,340.14,356.94,95.30,14.87,91.89,303.34,1405.16,413.75,427.92,96.69,13.63,89.20,284.08,1356.77,1129.04,1165.62,96.84,14.33,207.25
2025-11-07 00:14:00,2025-11-07 00:14:59,PQM,280.06,1365.34,377.81,383.26,98.58,14.30,27.25,268.71,1326.84,342.47,359.50,95.26,14.73,93.83,303.35,1418.62,417.55,431.44,96.78,13.42,91.14,284.04,1370.27,1137.82,1174.19,96.87,14.15,212.22
2025-11-07 00:15:00,2025-11-07 00:15:59,PQM,279.98,1366.21,376.94,382.43,98.56,14.16,27.79,268.65,1331.08,341.19,358.30,95.22,14.73,94.37,303.31,1421.39,416.74,431.08,96.67,13.39,91.91,283.98,1372.89,1134.88,1171.81,96.82,14.09,214.08
2025-11-07 00:16:00,2025-11-07 00:16:59,PQM,279.97,1353.67,372.99,378.45,98.56,14.55,24.95,268.69,1322.34,339.26,356.51,95.16,14.91,93.37,303.31,1413.69,415.43,429.38,96.75,13.49,88.63,283.99,1363.23,1127.68,1164.34,96.82,14.32,206.96
2025-11-07 00:17:00,2025-11-07 00:17:59,PQM,279.98,1362.00,376.06,381.45,98.59,14.19,26.69,268.69,1325.06,340.33,357.51,95.19,14.82,94.02,303.40,1418.60,416.94,431.35,96.66,13.33,91.16,284.02,1368.55,1133.33,1170.32,96.81,14.11,211.86
2025-11-07 00:18:00,2025-11-07 00:18:59,PQM,279.94,1365.14,377.83,383.66,98.48,14.05,29.83,268.64,1340.60,344.49,362.61,95.00,14.34,97.61,303.31,1426.29,420.41,434.93,96.66,13.05,92.48,283.96,1377.34,1142.73,1181.20,96.72,13.81,219.93
2025-11-07 00:19:00,2025-11-07 00:19:59,PQM,279.97,1338.23,371.11,376.04,98.69,14.47,25.58,268.91,1326.36,340.01,356.25,95.44,14.86,90.81,303.76,1407.72,414.45,427.78,96.88,13.46,85.96,284.21,1357.44,1125.57,1160.07,97.00,14.26,202.35
