End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2025-11-13 00:00:59,PQM,2025-11-13 00:00:00,1300.42,94.31,15.17,282.75,1278.94,356.29,60.81,346.58,97.28,15.43,278.37,1274.62,339.24,124.25,310.93,91.66,15.79,267.95,1347.69,406.85,123.63,382.45,94.00,14.30,301.92,1102.37,308.69,1039.96
2025-11-13 00:01:59,PQM,2025-11-13 00:01:00,1316.28,93.91,14.86,282.80,1293.52,364.47,67.32,353.57,97.01,15.08,278.37,1291.36,346.56,130.72,315.93,91.16,15.53,268.07,1363.96,415.05,132.46,388.33,93.56,13.96,301.97,1126.09,330.50,1057.83
2025-11-13 00:02:59,PQM,2025-11-13 00:02:00,1344.91,93.90,14.42,282.86,1321.76,370.77,70.13,359.16,96.87,14.75,278.46,1315.79,356.63,135.42,324.68,91.04,14.99,268.18,1397.17,423.24,132.63,396.98,93.80,13.53,301.95,1150.64,338.18,1080.83
2025-11-13 00:03:59,PQM,2025-11-13 00:03:00,1373.72,93.80,14.17,282.64,1342.96,375.66,73.47,364.35,96.99,14.48,278.13,1356.09,361.66,139.34,328.56,90.85,14.76,267.94,1422.10,429.95,137.73,402.30,93.57,13.26,301.84,1167.27,350.54,1095.21
2025-11-13 00:04:59,PQM,2025-11-13 00:04:00,1356.71,93.60,14.38,282.66,1334.20,372.29,75.56,359.60,96.59,14.72,278.25,1332.39,357.24,139.24,324.16,90.74,14.89,268.00,1403.54,423.38,137.94,395.75,93.47,13.53,301.74,1152.91,352.74,1079.52
2025-11-13 00:05:59,PQM,2025-11-13 00:05:00,1298.55,94.15,15.09,282.99,1275.37,357.53,65.18,346.76,96.99,15.45,278.54,1277.44,342.99,127.65,313.63,91.44,15.66,268.31,1342.85,407.40,125.37,383.01,94.01,14.15,302.12,1107.92,318.20,1043.39
2025-11-13 00:06:59,PQM,2025-11-13 00:06:00,1359.89,93.90,14.37,282.70,1329.82,370.66,70.67,359.00,96.86,14.80,278.29,1332.60,358.18,139.02,325.73,90.94,14.91,268.05,1417.26,426.58,134.00,400.54,93.90,13.40,301.75,1155.42,343.69,1085.27
2025-11-13 00:07:59,PQM,2025-11-13 00:07:00,1344.20,93.98,14.57,282.91,1314.81,365.99,67.25,354.84,96.95,15.00,278.45,1314.59,354.35,136.18,322.07,90.89,15.13,268.25,1403.20,422.38,130.57,397.46,94.10,13.57,302.02,1142.72,334.00,1074.36
2025-11-13 00:08:59,PQM,2025-11-13 00:08:00,1330.92,94.20,14.83,282.94,1296.91,360.18,61.92,350.24,97.24,15.25,278.45,1302.07,348.11,133.17,316.88,91.03,15.48,268.22,1393.80,419.24,127.09,395.46,94.33,13.77,302.15,1127.53,322.18,1062.58
2025-11-13 00:09:59,PQM,2025-11-13 00:09:00,1316.08,94.05,14.83,283.05,1290.24,364.40,66.44,353.41,96.98,15.17,278.61,1286.05,349.32,132.54,318.36,91.14,15.47,268.30,1371.96,417.51,130.25,392.52,94.02,13.86,302.24,1131.23,329.23,1064.29
2025-11-13 00:10:59,PQM,2025-11-13 00:10:00,1316.59,94.29,15.01,283.07,1295.60,360.29,62.58,350.21,97.20,15.33,278.63,1279.40,343.93,128.32,314.76,91.52,15.67,268.36,1374.78,412.42,126.71,388.29,94.15,14.03,302.21,1116.63,317.61,1053.26
2025-11-13 00:11:59,PQM,2025-11-13 00:11:00,1312.37,94.15,14.93,283.08,1299.01,361.58,62.09,351.90,97.32,15.20,278.72,1278.43,343.89,126.85,314.02,91.31,15.59,268.37,1359.67,412.85,127.28,387.35,93.83,14.01,302.14,1118.31,316.22,1053.27
2025-11-13 00:12:59,PQM,2025-11-13 00:12:00,1362.56,93.93,14.40,282.64,1348.41,373.06,69.08,362.26,97.11,14.64,278.35,1328.19,353.20,134.21,321.87,91.13,15.06,267.88,1411.08,424.47,136.59,397.06,93.54,13.49,301.70,1150.73,339.88,1081.20
2025-11-13 00:13:59,PQM,2025-11-13 00:13:00,1379.76,93.93,14.14,282.64,1369.64,379.98,71.27,369.32,97.19,14.46,278.35,1341.55,361.21,138.09,328.65,90.99,14.76,267.86,1428.09,433.00,139.77,405.27,93.60,13.21,301.71,1174.18,349.12,1103.24
2025-11-13 00:14:59,PQM,2025-11-13 00:14:00,1396.78,93.75,14.16,282.58,1379.70,381.28,73.08,369.87,97.01,14.37,278.21,1358.06,360.10,140.06,326.94,90.79,14.88,267.74,1452.59,434.38,144.02,405.93,93.45,13.23,301.80,1175.76,357.16,1102.74
2025-11-13 00:15:59,PQM,2025-11-13 00:15:00,1359.15,93.58,14.33,282.67,1343.02,375.15,69.77,364.50,97.16,14.56,278.29,1311.28,354.93,140.39,320.58,90.32,15.14,267.87,1423.15,432.58,143.67,403.39,93.25,13.30,301.84,1162.66,353.83,1088.48
2025-11-13 00:16:59,PQM,2025-11-13 00:16:00,1368.21,93.81,14.34,282.52,1349.72,373.81,71.12,362.90,97.08,14.63,278.15,1335.10,357.68,138.36,324.45,90.71,14.96,267.71,1419.83,428.55,137.97,401.32,93.65,13.43,301.69,1160.04,347.45,1088.67
2025-11-13 00:17:59,PQM,2025-11-13 00:17:00,1361.34,93.59,14.06,282.53,1340.93,375.41,71.93,363.65,96.87,14.29,278.14,1333.62,358.31,138.30,324.97,90.69,14.72,267.79,1409.47,429.59,138.80,400.41,93.21,13.16,301.67,1163.31,349.02,1089.03
2025-11-13 00:18:59,PQM,2025-11-13 00:18:00,1329.93,94.08,14.85,282.90,1305.90,362.12,64.97,351.87,97.17,15.18,278.48,1299.20,349.09,132.51,317.71,91.01,15.49,268.15,1384.69,417.78,128.71,392.94,94.06,13.88,302.07,1128.99,326.18,1062.52
2025-11-13 00:19:59,PQM,2025-11-13 00:19:00,1350.93,93.96,14.51,282.57,1328.45,371.73,70.27,361.05,97.13,14.66,278.22,1321.52,354.14,135.42,322.76,91.14,15.19,267.75,1402.80,424.66,136.49,397.49,93.60,13.69,301.73,1150.53,342.18,1081.31
