End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,outputAmp,totalKva,totalKvar,totalKw
2025-11-17 00:00:59,Main PF,2025-11-17 00:00:00,791.97,1.63,-56.00,491.73,849.10,414.30,8.60,409.90,99.90,0.90,488.20,671.50,332.80,18.90,328.70,99.90,1.50,496.30,855.30,419.00,-83.50,413.80,99.50,2.50,490.70,1152.40,99.77,,1166.10
2025-11-17 00:01:59,Main PF,2025-11-17 00:01:00,774.83,1.60,-67.40,491.63,809.20,394.00,6.70,389.10,99.90,1.00,487.70,656.90,325.40,8.00,321.80,99.90,1.80,496.60,858.40,420.40,-82.10,415.80,99.50,2.00,490.60,1126.70,99.77,,1139.80
2025-11-17 00:02:59,Main PF,2025-11-17 00:02:00,772.73,1.57,-64.10,491.50,810.10,395.30,5.90,391.00,99.90,0.70,488.10,660.40,327.40,6.70,323.70,99.90,1.80,496.50,847.70,414.20,-76.70,409.90,99.60,2.20,489.90,1124.60,99.80,,1136.90
2025-11-17 00:03:59,Main PF,2025-11-17 00:03:00,779.70,2.27,-63.00,491.37,826.20,402.30,4.90,398.00,99.90,1.40,487.80,658.30,326.40,12.10,322.70,99.90,2.30,496.00,854.60,418.50,-80.00,413.80,99.50,3.10,490.30,1134.50,99.77,,1147.20
2025-11-17 00:04:59,Main PF,2025-11-17 00:04:00,770.13,1.63,-67.60,491.43,800.90,390.40,6.80,386.10,99.90,1.00,488.10,649.20,321.90,9.90,317.80,99.90,1.60,496.40,860.30,420.50,-84.30,415.80,99.50,2.30,489.80,1119.70,99.77,,1132.80
2025-11-17 00:05:59,Main PF,2025-11-17 00:05:00,777.47,1.37,-63.70,491.50,818.60,399.20,7.00,395.00,99.90,0.60,488.60,652.40,323.40,7.30,319.80,99.90,1.50,496.50,861.40,421.00,-78.00,416.80,99.50,2.00,489.40,1131.60,99.77,,1143.60
2025-11-17 00:06:59,Main PF,2025-11-17 00:06:00,756.80,1.50,-59.30,491.93,786.60,384.40,6.70,380.20,99.90,0.90,489.20,641.50,317.90,6.70,313.80,99.90,1.50,496.90,842.30,411.70,-72.70,406.90,99.60,2.10,489.70,1100.90,99.80,,1114.00
2025-11-17 00:07:59,Main PF,2025-11-17 00:07:00,770.43,1.70,-51.00,491.93,833.70,407.30,6.80,402.90,99.90,0.80,489.30,650.10,322.40,12.90,318.80,99.90,1.80,496.70,827.50,404.40,-70.70,400.00,99.60,2.50,489.80,1121.70,99.80,,1134.10
2025-11-17 00:08:59,Main PF,2025-11-17 00:08:00,778.77,2.40,-43.70,491.97,829.90,404.60,6.50,400.00,99.90,0.90,488.80,668.10,331.30,18.20,327.70,99.90,2.50,496.30,838.30,410.60,-68.40,405.90,99.60,3.80,490.80,1133.60,99.80,,1146.50
2025-11-17 00:09:59,Main PF,2025-11-17 00:09:00,772.17,1.50,-41.40,491.90,805.30,393.60,7.80,389.10,99.90,0.80,489.00,661.90,327.90,13.30,323.70,99.90,1.50,496.80,849.30,415.20,-62.50,410.90,99.70,2.20,489.90,1123.70,99.83,,1136.70
