End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,outputAmp,totalKva,totalKvar,totalKw
2025-11-17 00:00:59,PQM,2025-11-17 00:00:00,1333.16,8.76,111.23,281.79,1421.30,399.40,-7.41,397.62,99.55,8.78,279.24,1242.33,337.13,48.40,332.08,98.50,9.63,267.05,1335.85,402.60,70.23,395.50,98.24,7.88,299.08,1125.20,98.76,,1139.13
2025-11-17 00:01:59,PQM,2025-11-17 00:01:00,1338.52,8.90,105.07,281.85,1421.48,393.89,-9.52,391.88,99.49,8.91,279.10,1253.91,332.96,46.60,328.00,98.51,9.85,267.18,1340.17,400.34,68.00,392.60,98.07,7.94,299.27,1112.48,98.69,,1127.19
2025-11-17 00:02:59,PQM,2025-11-17 00:02:00,1379.65,8.71,123.72,281.67,1452.37,402.68,-3.71,401.27,99.65,8.79,278.98,1291.28,344.86,54.31,339.02,98.16,9.71,267.02,1395.30,412.39,73.12,404.86,98.07,7.64,299.00,1145.16,98.63,,1159.94
2025-11-17 00:03:59,PQM,2025-11-17 00:03:00,1411.00,8.67,137.20,281.54,1483.40,409.15,-0.14,408.01,99.72,8.78,278.84,1332.53,350.81,58.96,343.96,98.05,9.72,266.94,1417.07,420.13,78.39,411.52,97.95,7.52,298.85,1163.50,98.57,,1180.09
2025-11-17 00:04:59,PQM,2025-11-17 00:04:00,1367.03,8.72,115.45,281.59,1440.13,400.98,-5.70,400.06,99.77,8.79,278.83,1291.75,342.26,50.14,337.56,98.63,9.62,267.05,1369.21,408.09,71.01,400.53,98.15,7.75,298.88,1138.15,98.85,,1151.33
2025-11-17 00:05:59,PQM,2025-11-17 00:05:00,1363.60,8.77,115.63,281.75,1428.07,395.50,-5.27,393.91,99.60,8.93,278.96,1288.81,341.47,51.50,335.93,98.38,9.69,267.33,1373.92,405.16,69.39,397.94,98.22,7.69,298.95,1127.78,98.73,,1142.13
2025-11-17 00:06:59,PQM,2025-11-17 00:06:00,1331.51,8.90,113.81,282.03,1397.78,391.09,-3.90,389.64,99.63,9.05,279.15,1265.27,337.84,49.38,332.66,98.47,9.77,267.67,1331.47,398.64,68.32,391.41,98.19,7.89,299.28,1113.71,98.76,,1127.57
2025-11-17 00:07:59,PQM,2025-11-17 00:07:00,1327.70,8.83,118.40,282.08,1405.54,394.28,-3.00,393.15,99.71,9.00,279.20,1251.67,341.97,51.88,336.41,98.38,9.73,267.72,1325.89,403.85,69.52,397.06,98.32,7.75,299.32,1126.62,98.80,,1140.10
2025-11-17 00:08:59,PQM,2025-11-17 00:08:00,1359.60,8.76,134.38,281.83,1426.35,401.62,2.20,399.35,99.43,8.96,279.07,1285.14,347.52,57.13,340.67,98.03,9.70,267.31,1367.31,410.20,75.06,402.12,98.03,7.63,299.12,1142.14,98.50,,1159.34
2025-11-17 00:09:59,PQM,2025-11-17 00:09:00,1359.05,8.68,125.93,281.84,1431.41,399.12,1.80,397.72,99.65,8.87,279.04,1301.72,346.60,52.46,340.99,98.38,9.48,267.48,1344.02,404.35,71.67,396.41,98.04,7.69,299.01,1135.13,98.69,,1150.07
2025-11-17 00:10:59,PQM,2025-11-17 00:10:00,1360.99,8.70,124.15,282.05,1433.53,398.07,2.82,397.03,99.74,8.89,279.28,1304.24,347.24,51.40,341.66,98.39,9.46,267.66,1345.20,400.71,69.94,393.28,98.14,7.75,299.21,1131.97,98.76,,1146.02
2025-11-17 00:11:59,PQM,2025-11-17 00:11:00,1334.44,8.82,115.78,282.20,1411.93,394.42,-1.37,393.61,99.79,8.94,279.46,1272.50,340.42,48.89,335.36,98.51,9.58,267.74,1318.88,397.40,68.26,390.41,98.24,7.95,299.41,1119.38,98.85,,1132.23
2025-11-17 00:12:59,PQM,2025-11-17 00:12:00,1347.03,8.79,123.13,282.40,1415.79,396.02,0.86,394.25,99.55,8.93,279.55,1281.16,344.05,52.03,338.06,98.26,9.62,267.94,1344.15,402.42,70.24,395.04,98.17,7.82,299.70,1127.35,98.66,,1142.49
2025-11-17 00:13:59,PQM,2025-11-17 00:13:00,1301.98,9.09,125.25,283.53,1344.98,380.34,3.38,378.72,99.57,9.34,279.61,1255.55,346.32,55.67,339.93,98.16,10.09,270.04,1305.41,397.39,66.19,390.91,98.37,7.85,300.93,1109.56,98.70,,1124.05
2025-11-17 00:14:59,PQM,2025-11-17 00:14:00,1317.51,8.99,114.50,282.51,1387.67,386.85,-2.10,385.40,99.63,9.07,279.56,1243.82,332.30,48.12,327.38,98.52,9.93,268.02,1321.02,392.54,68.47,385.44,98.19,7.97,299.95,1098.22,98.78,,1111.70
2025-11-17 00:15:59,PQM,2025-11-17 00:15:00,1413.66,9.11,181.33,281.72,1459.14,398.82,16.80,398.82,100.00,9.16,278.95,1352.30,341.83,74.56,340.11,99.50,10.08,267.03,1429.55,407.88,89.97,406.26,99.60,8.09,299.19,1145.19,99.70,,1148.53
2025-11-17 00:16:59,PQM,2025-11-17 00:16:00,1299.16,8.94,114.60,282.46,1376.63,387.04,-1.98,385.20,99.52,8.99,279.60,1224.83,332.60,47.88,326.98,98.31,9.83,267.98,1296.04,391.84,68.70,384.44,98.11,7.99,299.81,1096.61,98.65,,1111.49
