3Kvar,End Time,Meter,Start Time,avgAmp,avgKva,avgKvar,avgKw,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kw,l3Pf,l3THD,l3Volt,peakKva,peakKw
63.01,11/16/2025 0:14,Meter BSGN1-APF - CHILLER 1,11/16/2025 0:00,182.05,157.39,194.53,144.79,93.33,1.55,289.32,183.06,52.36,71.09,47.51,92.04,1.36,287.19,180.35,52.39,60.42,48.71,94.11,1.52,291.74,182.75,52.65,48.56,93.83,1.78,289.05,158.8,145.6
62.13,11/16/2025 0:29,Meter BSGN1-APF - CHILLER 1,11/16/2025 0:15,181.08,156.54,193.32,144.23,93.37,1.51,289.35,182.84,52.32,70.53,47.59,92.17,1.31,287.41,179.17,52.05,60.65,48.33,94.01,1.43,291.61,181.23,52.17,48.3,93.92,1.81,289.03,157.3,145.6
62.67,11/16/2025 0:44,Meter BSGN1-APF - CHILLER 1,11/16/2025 0:30,180.31,156.08,193.71,143.31,93.26,1.56,289.7,181.73,52.05,70.74,47.21,91.98,1.25,287.73,178.07,51.84,60.31,47.93,94.03,1.61,292.05,181.13,52.19,48.17,93.78,1.83,289.33,157.1,145.1
62.17,11/16/2025 0:59,Meter BSGN1-APF - CHILLER 1,11/16/2025 0:45,179.03,154.97,192.3,142.31,93.26,1.57,289.64,180.03,51.57,70.4,46.6,91.94,1.37,287.47,177.16,51.57,59.73,47.77,94.05,1.47,291.99,179.89,51.83,47.94,93.79,1.87,289.44,155.8,143.7
61.92,11/16/2025 1:14,Meter BSGN1-APF - CHILLER 1,11/16/2025 1:00,178.58,154.57,191.91,141.84,93.25,1.58,289.65,180.15,51.65,70.41,46.66,91.92,1.34,287.61,175.71,51.11,59.59,47.31,94.03,1.52,292.05,179.87,51.81,47.87,93.81,1.88,289.29,155.3,143.2
62,11/16/2025 1:29,Meter BSGN1-APF - CHILLER 1,11/16/2025 1:15,177.69,153.85,191.59,141.18,93.2,1.54,289.91,178.35,51.13,70.53,46.1,91.78,1.3,287.76,175.54,51,59.07,47.41,94.07,1.52,292.12,179.19,51.72,47.67,93.75,1.81,289.85,154.8,142.2
61.89,11/16/2025 1:44,Meter BSGN1-APF - CHILLER 1,11/16/2025 1:30,176.78,153.19,191.48,140.37,93.15,1.58,290.1,177.64,50.99,70.21,45.93,91.79,1.39,288.28,174.49,50.75,59.38,47.09,93.95,1.46,292.09,178.22,51.45,47.35,93.72,1.89,289.93,153.8,141.8
62.37,11/16/2025 1:59,Meter BSGN1-APF - CHILLER 1,11/16/2025 1:45,176.29,152.87,191.59,139.79,93.1,1.59,290.36,177.11,50.83,69.77,45.65,91.81,1.32,288.3,174.42,50.85,59.45,46.97,93.93,1.53,292.74,177.34,51.19,47.16,93.56,1.91,290.03,154.2,140.8
61.42,11/16/2025 2:14,Meter BSGN1-APF - CHILLER 1,11/16/2025 2:00,175.23,151.97,190.15,139.09,93.12,1.59,290.34,176.7,50.73,69.93,45.75,91.71,1.35,288.22,172.59,50.28,58.8,46.49,93.94,1.52,292.67,176.39,50.97,46.86,93.71,1.9,290.13,153.1,140.8
60.89,11/16/2025 2:29,Meter BSGN1-APF - CHILLER 1,11/16/2025 2:15,172.17,149.5,188.61,136.7,92.98,1.6,290.61,173.34,49.79,69.26,44.86,91.57,1.39,288.4,169.74,49.55,58.46,45.61,93.81,1.56,293.05,173.42,50.16,46.23,93.57,1.84,290.39,151.7,138.5
