End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2026-01-16 00:00:59,Meter 1,2026-01-16 00:00:00,66.00,95.94,0.00,215.65,67.30,8.30,1.84,6.97,96.71,0.00,216.00,68.19,8.55,2.53,7.67,94.99,0.00,215.71,62.51,7.80,1.76,6.15,96.14,0.00,215.24,24.65,6.12,20.80
2026-01-16 00:01:59,Meter 1,2026-01-16 00:01:00,75.95,98.16,0.00,215.53,96.09,11.84,1.88,10.82,98.53,0.00,215.76,66.84,8.38,1.85,7.71,97.25,0.00,215.71,64.93,8.11,1.10,6.78,98.70,0.00,215.13,28.32,4.83,25.31
2026-01-16 00:02:59,Meter 1,2026-01-16 00:02:00,70.05,95.18,0.00,215.74,82.08,10.12,2.30,8.66,96.64,0.00,215.94,59.98,7.52,2.19,6.83,95.24,0.00,215.91,68.09,8.51,2.63,7.02,93.66,0.00,215.37,26.15,7.12,22.52
2026-01-16 00:03:59,Meter 1,2026-01-16 00:03:00,63.22,97.94,0.00,215.84,64.01,7.89,0.92,7.17,99.19,0.00,216.06,59.02,7.41,1.14,6.86,98.64,0.00,216.04,66.62,8.33,2.12,7.26,95.98,0.00,215.40,23.63,4.18,21.29
2026-01-16 00:04:59,Meter 1,2026-01-16 00:04:00,63.90,96.48,0.00,215.83,62.55,7.71,0.83,7.15,99.33,0.00,215.86,63.87,8.01,1.94,7.35,96.68,0.00,216.03,65.28,8.17,2.67,7.01,93.43,0.00,215.58,23.89,5.45,21.51
2026-01-16 00:05:59,Meter 1,2026-01-16 00:05:00,50.92,93.16,0.00,215.88,50.90,6.28,1.56,5.63,96.37,0.00,215.93,39.91,5.01,1.75,4.49,93.19,0.00,216.07,61.94,7.75,3.27,6.72,89.94,0.00,215.64,19.04,6.57,16.84
2026-01-16 00:06:59,Meter 1,2026-01-16 00:06:00,46.59,93.43,0.00,215.79,43.55,5.37,1.31,4.33,95.74,0.00,215.88,33.63,4.22,1.30,3.70,94.34,0.00,215.97,62.60,7.83,3.10,6.47,90.20,0.00,215.51,17.42,5.70,14.49
2026-01-16 00:07:59,Meter 1,2026-01-16 00:07:00,53.62,99.29,0.00,215.74,63.71,7.86,0.20,6.95,99.96,0.00,215.84,36.22,4.54,-0.43,4.00,99.44,0.00,215.92,60.92,7.62,1.19,6.73,98.47,0.00,215.46,20.01,0.97,17.67
2026-01-16 00:08:59,Meter 1,2026-01-16 00:08:00,53.61,99.10,0.00,215.73,61.62,7.59,0.39,6.32,99.81,0.00,215.82,34.22,4.29,-0.22,3.65,99.82,0.00,216.05,65.00,8.13,1.46,6.63,97.66,0.00,215.31,20.01,1.63,16.60
2026-01-16 00:09:59,Meter 1,2026-01-16 00:09:00,51.03,96.93,0.00,215.74,53.14,6.55,1.11,4.59,97.21,0.00,215.91,33.99,4.26,0.09,3.40,99.96,0.00,216.06,65.97,8.25,2.45,6.52,93.60,0.00,215.25,19.06,3.65,14.51
2026-01-16 00:10:59,Meter 1,2026-01-16 00:10:00,53.40,97.06,0.00,215.70,56.59,6.97,1.11,4.96,97.59,0.00,215.70,37.16,4.66,0.69,4.00,98.56,0.00,216.00,66.46,8.31,2.19,6.70,95.04,0.00,215.40,19.94,3.99,15.66
2026-01-16 00:11:59,Meter 1,2026-01-16 00:11:00,44.01,87.16,0.00,215.66,44.57,5.49,2.56,4.43,86.61,0.00,215.77,32.75,4.11,1.90,3.43,87.46,0.00,215.92,54.71,6.84,3.16,5.69,87.42,0.00,215.29,16.43,7.61,13.54
2026-01-16 00:12:59,Meter 1,2026-01-16 00:12:00,56.19,89.70,0.00,215.55,70.45,8.67,3.08,7.54,92.58,0.00,215.49,43.99,5.51,2.60,4.55,86.84,0.00,215.95,54.11,6.77,2.65,5.37,89.69,0.00,215.22,20.95,8.32,17.46
2026-01-16 00:13:59,Meter 1,2026-01-16 00:13:00,58.12,99.12,0.00,215.70,63.22,7.79,1.26,7.09,98.45,0.00,215.87,48.61,6.10,0.59,5.66,99.45,0.00,215.95,62.54,7.82,0.74,7.15,99.46,0.00,215.29,21.70,2.60,19.90
2026-01-16 00:14:59,Meter 1,2026-01-16 00:14:00,54.36,96.68,0.00,215.84,66.65,8.22,1.41,7.64,98.34,0.00,215.86,39.60,4.97,1.18,4.46,96.70,0.00,216.06,56.83,7.11,2.12,6.46,95.01,0.00,215.59,20.30,4.71,18.57
2026-01-16 00:15:59,Meter 1,2026-01-16 00:15:00,49.44,87.60,0.00,215.83,58.02,7.15,3.11,5.40,86.65,0.00,215.81,38.12,4.78,2.16,3.96,87.79,0.00,216.15,52.18,6.53,2.69,5.08,88.37,0.00,215.52,18.46,7.96,14.44
