End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2026-01-23 00:00:59,Meter 1,2026-01-23 00:00:00,41.27,91.29,0.00,214.82,55.86,6.86,-1.90,5.70,94.85,0.00,214.83,36.13,4.51,0.14,4.21,99.94,0.00,214.88,31.80,3.96,-2.07,2.67,79.07,0.00,214.74,15.33,-3.83,12.58
2026-01-23 00:01:59,Meter 1,2026-01-23 00:01:00,50.12,99.05,0.00,214.76,70.25,8.62,-0.45,5.40,99.65,0.00,214.81,40.91,5.11,1.00,4.47,97.57,0.00,215.05,39.19,4.88,0.16,4.27,99.93,0.00,214.41,18.60,0.72,14.14
2026-01-23 00:02:59,Meter 1,2026-01-23 00:02:00,30.31,99.03,0.00,214.80,38.88,4.78,-0.46,4.58,99.51,0.00,214.97,25.40,3.17,-0.11,2.95,99.93,0.00,214.86,26.64,3.32,-0.66,3.00,97.66,0.00,214.57,11.26,-1.23,10.54
2026-01-23 00:03:59,Meter 1,2026-01-23 00:03:00,58.97,99.96,0.00,214.80,72.46,8.90,-0.26,5.39,99.88,0.00,214.99,47.31,5.90,-0.06,4.17,99.99,0.00,214.86,57.13,7.11,0.01,4.86,100.00,0.00,214.53,21.91,-0.31,14.43
2026-01-23 00:04:59,Meter 1,2026-01-23 00:04:00,37.58,93.70,0.00,214.85,48.19,5.92,-2.24,5.09,91.53,0.00,215.03,35.00,4.37,-0.13,4.24,99.95,0.00,214.83,29.55,3.68,-1.48,2.98,89.60,0.00,214.68,13.97,-3.85,12.31
2026-01-23 00:05:59,Meter 1,2026-01-23 00:05:00,49.32,99.59,0.00,214.79,63.19,7.76,0.07,5.30,99.99,0.00,214.80,43.94,5.48,0.72,4.55,98.78,0.00,214.97,40.84,5.09,0.00,4.80,100.00,0.00,214.61,18.33,0.78,14.65
2026-01-23 00:06:59,Meter 1,2026-01-23 00:06:00,53.55,98.75,0.00,214.52,69.61,8.54,-1.48,5.57,96.63,0.00,214.61,42.00,5.23,0.07,5.02,99.99,0.00,214.46,49.04,6.10,-0.42,4.82,99.63,0.00,214.47,19.87,-1.83,15.40
2026-01-23 00:07:59,Meter 1,2026-01-23 00:07:00,58.43,98.87,0.00,214.51,77.31,9.48,-1.44,5.84,97.08,0.00,214.62,46.90,5.84,0.51,5.45,99.56,0.00,214.57,51.06,6.35,0.13,4.86,99.97,0.00,214.32,21.67,-0.80,16.16
2026-01-23 00:08:59,Meter 1,2026-01-23 00:08:00,51.37,99.67,0.00,214.47,59.28,7.27,-0.63,5.39,99.32,0.00,214.51,42.14,5.25,-0.34,4.31,99.69,0.00,214.63,52.69,6.55,-0.03,5.16,100.00,0.00,214.26,19.07,-1.00,14.87
2026-01-23 00:09:59,Meter 1,2026-01-23 00:09:00,38.10,99.41,0.00,214.47,41.40,5.08,-0.67,4.57,98.93,0.00,214.61,31.63,3.94,0.14,3.79,99.93,0.00,214.47,41.28,5.13,0.56,4.96,99.37,0.00,214.32,14.15,0.03,13.32
2026-01-23 00:10:59,Meter 1,2026-01-23 00:10:00,43.36,99.12,0.00,214.57,48.14,5.90,-0.84,3.80,97.65,0.00,214.61,36.80,4.59,0.09,3.63,99.97,0.00,214.74,45.15,5.62,0.35,4.80,99.74,0.00,214.36,16.11,-0.40,12.23
2026-01-23 00:11:59,Meter 1,2026-01-23 00:11:00,48.11,98.67,0.00,214.47,59.19,7.25,-1.04,3.85,96.56,0.00,214.53,37.04,4.62,0.26,3.83,99.78,0.00,214.77,48.10,5.98,0.44,5.36,99.67,0.00,214.09,17.85,-0.34,13.04
2026-01-23 00:12:59,Meter 1,2026-01-23 00:12:00,49.40,97.73,0.00,214.42,60.68,7.43,-1.26,3.51,94.16,0.00,214.39,37.43,4.66,-0.09,3.48,99.96,0.00,214.66,50.11,6.23,0.75,5.49,99.07,0.00,214.21,18.33,-0.60,12.48
2026-01-23 00:13:59,Meter 1,2026-01-23 00:13:00,53.07,98.06,0.00,214.43,65.57,8.04,-1.98,5.95,94.91,0.00,214.57,41.98,5.23,-0.25,5.11,99.88,0.00,214.64,51.67,6.42,-0.65,5.94,99.41,0.00,214.09,19.69,-2.88,17.01
2026-01-23 00:14:59,Meter 1,2026-01-23 00:14:00,40.87,95.80,0.00,214.37,50.54,6.19,-1.41,5.30,96.63,0.00,214.53,29.58,3.69,-1.35,3.23,92.25,0.00,214.62,42.49,5.28,-0.87,4.99,98.51,0.00,213.96,15.16,-3.63,13.52
