Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,avgKw,avgKva,avgPf,avgTHD,avgKvar,peakKva,peakKw
2026-04-15 00:00:00,2026-04-15 00:14:59,Main PF,276.99,831.50,213.40,229.82,93.71,35.41,79.81,277.01,858.50,220.99,237.07,93.97,37.16,79.94,277.59,830.04,213.19,229.84,93.61,36.46,79.61,277.19,840.01,647.58,696.74,93.76,36.34,239.36,781.30,704.70
2026-04-15 00:15:00,2026-04-15 00:29:59,Main PF,276.99,810.06,210.21,223.84,94.68,34.92,71.82,277.41,838.75,218.94,232.15,94.89,36.42,72.25,277.78,810.09,210.74,224.58,94.55,35.66,71.89,277.39,819.63,639.89,680.57,94.71,35.67,215.97,733.00,689.70
2026-04-15 00:30:00,2026-04-15 00:44:59,Main PF,277.43,665.70,172.48,184.34,94.38,36.48,60.38,277.71,679.78,176.29,188.25,94.43,38.71,60.49,278.33,655.37,169.75,181.87,94.12,37.72,60.22,277.82,666.95,518.52,554.46,94.31,37.64,181.08,620.20,579.80
2026-04-15 00:45:00,2026-04-15 00:59:59,Main PF,277.87,597.95,154.87,165.84,93.97,38.22,55.62,278.26,610.84,158.10,169.53,93.97,40.71,55.82,278.46,587.79,151.56,163.27,93.65,39.67,55.65,278.20,598.86,464.54,498.64,93.86,39.53,167.09,525.70,490.80
2026-04-15 01:00:00,2026-04-15 01:14:59,Main PF,276.89,558.89,144.13,154.37,94.27,38.81,50.75,277.19,570.79,147.45,157.87,94.23,41.64,50.92,277.77,544.13,140.22,150.73,93.82,40.68,50.71,277.29,557.94,431.80,462.97,94.11,40.38,152.38,490.10,453.90
2026-04-15 01:15:00,2026-04-15 01:29:59,Main PF,277.13,625.62,158.51,172.99,92.73,36.57,64.77,277.08,639.12,161.92,176.66,92.69,39.51,64.81,277.61,610.08,154.15,168.91,92.21,38.11,64.78,277.27,624.94,474.57,518.56,92.54,38.06,194.37,630.60,559.70
2026-04-15 01:30:00,2026-04-15 01:44:59,Main PF,276.82,760.51,187.28,210.00,89.71,35.20,92.32,276.73,777.59,191.25,214.64,89.76,37.69,92.48,277.57,744.39,181.88,206.16,89.05,36.04,92.23,277.04,760.83,560.41,630.81,89.51,36.31,277.02,660.20,583.40
2026-04-15 01:45:00,2026-04-15 01:59:59,Main PF,277.45,695.31,175.18,192.35,92.25,35.49,74.74,277.62,705.28,177.84,195.28,92.14,37.82,74.83,278.00,675.09,169.32,187.15,91.59,36.21,74.79,277.69,691.89,522.33,574.78,91.99,36.51,224.36,688.40,611.50
2026-04-15 02:00:00,2026-04-15 02:14:59,Main PF,278.19,598.12,155.15,166.06,94.11,36.81,55.35,277.99,604.54,156.75,167.65,93.99,39.65,55.33,278.65,577.30,149.14,160.48,93.59,37.98,55.33,278.28,593.32,461.03,494.20,93.90,38.15,166.02,516.20,482.20
2026-04-15 02:15:00,2026-04-15 02:29:59,Main PF,277.83,726.68,182.46,201.46,91.39,35.43,81.87,278.05,744.73,187.08,206.60,91.38,37.79,82.43,278.34,711.24,178.24,197.49,90.90,36.35,81.70,278.07,727.55,547.78,605.55,91.23,36.52,246.00,678.70,602.50
