Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-22 00:00:00,2026-04-22 00:00:59,Q11,480.20,288.80,129.70,138.20,94.90,34.40,24.06,484.90,288.00,133.40,139.40,96.10,35.70,21.26,480.70,284.90,129.20,136.30,95.10,33.90,23.51,481.93,287.23,392.30,413.90,95.37,34.67,68.83
2026-04-22 00:01:00,2026-04-22 00:01:59,Q11,481.50,288.00,131.10,138.50,95.10,33.60,23.83,483.90,286.00,132.50,138.10,96.00,34.80,21.86,479.60,289.20,131.10,138.40,95.00,33.90,23.94,481.67,287.73,394.70,415.00,95.37,34.10,69.63
2026-04-22 00:02:00,2026-04-22 00:02:59,Q11,480.90,285.90,129.20,136.80,95.10,35.80,23.63,483.70,288.60,133.40,139.10,96.00,36.50,21.54,480.10,289.40,131.10,138.70,95.10,35.70,23.34,481.57,287.97,393.70,414.60,95.40,36.00,68.51
2026-04-22 00:03:00,2026-04-22 00:03:59,Q11,481.40,296.30,134.90,142.40,95.20,36.00,23.74,483.50,291.70,133.00,140.60,95.90,36.90,22.00,480.00,289.70,131.10,138.70,95.00,35.60,23.86,481.63,292.57,399.00,421.70,95.37,36.17,69.60
2026-04-22 00:04:00,2026-04-22 00:04:59,Q11,481.10,290.30,132.10,139.50,95.10,35.20,23.63,483.40,286.70,132.50,138.10,96.00,36.70,21.43,480.50,284.80,129.20,136.30,95.20,35.40,23.17,481.67,287.27,393.80,413.90,95.43,35.77,68.23
2026-04-22 00:05:00,2026-04-22 00:05:59,Q11,480.90,283.50,128.20,135.80,95.00,34.30,23.80,483.40,284.10,131.50,137.20,96.00,34.90,21.34,480.70,281.40,127.30,134.90,95.20,34.60,23.37,481.67,283.00,387.00,407.90,95.40,34.60,68.51
2026-04-22 00:06:00,2026-04-22 00:06:59,Q11,480.70,284.40,129.20,136.30,95.10,36.60,23.69,483.30,287.30,131.10,138.60,95.90,37.50,21.71,480.80,287.40,130.10,137.80,95.20,35.60,23.06,481.60,286.37,390.40,412.70,95.40,36.57,68.46
2026-04-22 00:07:00,2026-04-22 00:07:59,Q11,482.80,290.70,132.10,139.80,95.20,36.90,23.49,484.80,291.90,134.40,140.80,96.10,36.20,21.54,480.50,286.10,130.10,137.30,95.00,35.10,23.77,482.70,289.57,396.60,417.90,95.43,36.07,68.80
2026-04-22 00:08:00,2026-04-22 00:08:59,Q11,480.70,290.70,132.10,139.20,95.00,38.20,24.06,485.50,291.00,135.40,141.10,96.10,39.60,21.31,481.60,287.30,131.10,138.00,95.30,38.00,23.29,482.60,289.67,398.60,418.30,95.47,38.60,68.66
2026-04-22 00:09:00,2026-04-22 00:09:59,Q11,481.20,292.20,133.00,140.50,95.20,37.00,23.74,484.40,289.70,133.40,139.90,96.00,38.40,21.77,481.80,283.50,129.20,136.10,95.20,37.30,23.31,482.47,288.47,395.60,416.50,95.47,37.57,68.83
2026-04-22 00:10:00,2026-04-22 00:10:59,Q11,482.10,287.70,131.10,138.30,95.10,35.40,23.57,485.80,295.80,137.30,143.10,96.10,37.50,21.26,480.70,289.90,131.10,138.70,95.20,34.30,23.31,482.87,291.13,399.50,420.10,95.47,35.73,68.14
2026-04-22 00:11:00,2026-04-22 00:11:59,Q11,481.90,287.60,131.10,138.00,95.20,37.50,23.26,484.90,282.00,130.60,136.50,96.00,39.20,21.26,482.60,287.40,131.10,138.30,95.40,37.40,22.57,483.13,285.67,392.80,412.80,95.53,38.03,67.09
2026-04-22 00:12:00,2026-04-22 00:12:59,Q11,482.70,284.80,129.20,136.90,95.20,37.30,23.57,484.90,296.70,137.30,143.30,96.00,39.20,21.66,482.50,282.70,128.20,135.90,95.30,35.30,23.11,483.37,288.07,394.70,416.10,95.50,37.27,68.34
2026-04-22 00:13:00,2026-04-22 00:13:59,Q11,481.30,294.40,133.90,141.40,95.00,37.80,24.14,485.10,292.50,133.90,141.60,95.90,38.90,21.94,482.30,289.30,132.10,139.30,95.30,37.00,23.34,482.90,292.07,399.90,422.30,95.40,37.90,69.43
2026-04-22 00:14:00,2026-04-22 00:14:59,Q11,481.80,287.60,131.10,138.00,95.00,37.70,24.06,486.00,293.60,136.30,142.40,96.10,38.00,21.43,481.00,295.30,133.90,141.90,95.30,36.10,23.29,482.93,292.17,401.30,422.30,95.47,37.27,68.77
2026-04-22 00:15:00,2026-04-22 00:15:59,Q11,482.20,296.30,134.90,142.70,95.20,37.20,23.74,484.50,286.20,131.10,138.40,95.90,38.70,21.86,482.50,282.40,128.20,135.90,95.40,37.30,22.86,483.07,288.30,394.20,417.00,95.50,37.73,68.46
2026-04-22 00:16:00,2026-04-22 00:16:59,Q11,483.20,291.50,133.00,140.60,95.30,38.10,23.31,485.40,290.30,134.40,140.60,96.00,38.30,21.66,481.40,287.10,131.10,138.00,95.20,37.10,23.17,483.33,289.63,398.50,419.20,95.50,37.83,68.14
2026-04-22 00:17:00,2026-04-22 00:17:59,Q11,483.20,290.10,133.00,140.10,95.30,38.30,23.20,484.80,293.00,135.40,141.80,96.00,39.20,21.66,481.30,284.20,129.20,136.60,95.20,37.80,23.20,483.10,289.10,397.60,418.50,95.50,38.43,68.06
2026-04-22 00:18:00,2026-04-22 00:18:59,Q11,481.50,291.00,132.10,140.00,95.20,37.90,23.34,485.90,285.00,132.50,138.20,96.10,38.70,21.31,482.30,286.70,130.10,137.90,95.30,37.40,22.89,483.23,287.57,394.70,416.10,95.53,38.00,67.54
2026-04-22 00:19:00,2026-04-22 00:19:59,Q11,482.80,283.20,129.20,136.40,95.20,37.90,23.34,484.70,296.10,137.30,143.30,96.10,38.80,21.34,482.20,282.80,128.20,135.90,95.20,37.20,23.11,483.23,287.37,394.70,415.60,95.50,37.97,67.80
