Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-21 00:00:00,2026-04-21 00:00:59,Main PF,275.50,929.20,237.10,255.50,93.40,33.50,91.94,275.10,973.40,251.00,267.60,94.10,34.90,91.34,277.20,966.20,251.00,267.60,94.10,33.40,90.09,275.93,956.27,739.10,790.70,93.87,33.93,273.37
2026-04-21 00:00:00,2026-04-21 00:00:59,PQM,263.73,960.58,231.45,253.10,91.44,36.44,48.42,303.18,991.03,271.11,300.16,90.32,37.15,73.92,267.15,993.92,229.13,265.99,86.14,36.66,94.63,278.02,981.84,731.69,819.26,89.30,36.75,216.97
2026-04-21 00:01:00,2026-04-21 00:01:59,Main PF,275.50,955.90,243.70,262.60,93.60,33.40,92.03,275.40,985.30,253.80,270.90,94.30,33.70,91.66,276.60,997.50,258.50,275.20,94.20,31.70,90.71,275.83,979.57,756.00,808.70,94.03,32.93,274.40
2026-04-21 00:01:00,2026-04-21 00:01:59,PQM,263.62,978.76,236.06,257.84,91.55,36.00,49.56,302.93,1001.74,275.59,304.17,90.60,36.74,73.35,267.01,1016.61,234.90,271.27,86.59,35.96,95.47,277.85,999.04,746.55,833.28,89.58,36.23,218.38
2026-04-21 00:02:00,2026-04-21 00:02:59,Main PF,275.60,959.50,244.60,263.70,93.60,34.10,92.80,274.90,998.60,256.60,273.50,94.10,34.20,94.09,276.90,992.30,256.60,273.80,94.00,33.60,92.83,275.80,983.47,757.80,811.00,93.90,33.97,279.71
2026-04-21 00:02:00,2026-04-21 00:02:59,PQM,263.55,989.03,239.11,260.79,91.69,35.41,51.51,302.90,1016.03,277.60,306.70,90.51,36.19,77.15,267.00,1026.14,236.22,273.32,86.43,35.49,97.64,277.82,1010.40,752.93,840.81,89.54,35.70,226.30
2026-04-21 00:03:00,2026-04-21 00:03:59,Main PF,275.50,954.80,243.70,262.40,93.70,33.40,92.06,275.00,999.80,257.60,274.70,94.20,33.30,93.03,277.10,984.90,255.70,272.60,94.00,32.60,92.37,275.87,979.83,757.00,809.70,93.97,33.10,277.46
2026-04-21 00:03:00,2026-04-21 00:03:59,PQM,263.53,974.19,235.42,256.84,91.66,35.65,50.92,302.84,999.52,273.00,302.11,90.36,36.44,76.96,266.94,1004.40,231.55,268.37,86.28,35.85,96.08,277.77,992.70,739.98,827.32,89.44,35.98,223.96
2026-04-21 00:04:00,2026-04-21 00:04:59,Main PF,275.30,774.70,195.00,212.90,92.30,38.40,81.66,276.20,809.20,207.40,223.30,93.00,38.40,81.00,277.60,808.60,205.20,223.80,92.70,38.20,81.09,276.37,797.50,607.60,660.00,92.67,38.33,243.74
2026-04-21 00:04:00,2026-04-21 00:04:59,PQM,264.22,785.54,188.11,209.80,89.66,39.89,46.46,303.47,808.74,217.01,246.32,88.10,41.05,69.50,267.54,815.62,182.74,218.13,83.78,40.34,82.79,278.41,803.30,587.86,674.25,87.18,40.43,198.76
2026-04-21 00:05:00,2026-04-21 00:05:59,Main PF,275.70,791.10,199.60,217.50,92.30,38.20,82.71,275.30,821.60,209.20,225.80,93.00,39.70,82.43,277.40,812.60,206.10,224.90,92.90,38.30,81.40,276.13,808.43,614.90,668.20,92.73,38.73,246.54
2026-04-21 00:05:00,2026-04-21 00:05:59,PQM,263.99,821.14,192.62,215.53,89.37,40.58,48.60,303.29,835.87,222.14,252.87,87.85,41.78,70.13,267.39,845.77,188.98,225.46,83.82,40.85,85.07,278.22,834.26,603.73,693.86,87.01,41.07,203.80
2026-04-21 00:06:00,2026-04-21 00:06:59,Main PF,275.60,815.00,206.10,224.10,92.60,37.30,83.80,275.60,852.40,217.60,234.30,93.00,38.60,84.91,277.50,834.90,212.50,231.00,92.80,36.80,84.29,276.23,834.10,636.20,689.40,92.80,37.57,253.00
2026-04-21 00:06:00,2026-04-21 00:06:59,PQM,264.03,848.76,201.18,224.69,89.54,40.47,48.89,303.36,864.33,232.65,263.95,88.14,41.48,72.29,267.38,873.10,196.63,234.32,83.92,40.69,87.73,278.26,862.06,630.46,722.96,87.20,40.88,208.91
2026-04-21 00:07:00,2026-04-21 00:07:59,Main PF,275.60,831.60,212.00,228.50,93.40,38.70,80.54,275.50,875.70,225.60,240.60,94.00,38.90,81.31,277.50,864.90,222.30,239.30,93.80,38.70,80.26,276.20,857.40,659.90,708.40,93.73,38.77,242.11
2026-04-21 00:07:00,2026-04-21 00:07:59,PQM,264.09,844.91,200.52,223.48,89.73,41.49,44.44,303.41,869.18,233.59,264.02,88.47,42.15,67.43,267.37,872.89,196.90,233.93,84.17,41.44,84.49,278.29,862.33,631.01,721.44,87.46,41.69,196.36
2026-04-21 00:08:00,2026-04-21 00:08:59,Main PF,275.70,792.10,201.80,217.80,93.30,39.30,77.63,276.00,825.20,211.10,227.70,93.70,40.20,78.20,277.10,818.10,210.20,226.60,93.60,39.30,77.57,276.27,811.80,623.10,672.10,93.53,39.60,233.40
2026-04-21 00:08:00,2026-04-21 00:08:59,PQM,264.11,819.18,194.40,217.44,89.40,41.71,44.10,303.40,832.75,223.41,254.03,87.95,42.95,66.43,267.38,846.89,189.96,225.74,84.15,42.09,80.86,278.30,832.94,607.77,697.21,87.17,42.25,191.40
2026-04-21 00:09:00,2026-04-21 00:09:59,Main PF,276.00,793.90,202.70,218.90,93.30,39.40,76.91,275.70,822.00,210.20,226.10,93.90,40.60,77.11,276.60,821.50,210.20,226.60,93.60,39.40,77.31,276.10,812.47,623.10,671.60,93.60,39.80,231.34
2026-04-21 00:09:00,2026-04-21 00:09:59,PQM,263.99,808.64,191.38,213.96,89.45,42.20,43.57,303.26,825.29,221.13,251.32,87.99,43.11,64.77,267.35,834.14,187.28,222.60,84.13,42.43,79.10,278.20,822.69,599.79,687.88,87.19,42.58,187.43
2026-04-21 00:10:00,2026-04-21 00:10:59,Main PF,274.90,853.40,219.00,233.70,94.20,36.80,78.34,275.90,887.10,228.40,243.90,94.70,37.30,78.97,277.10,884.40,229.40,244.90,94.40,35.70,78.89,275.97,874.97,676.80,722.50,94.43,36.60,236.20
2026-04-21 00:10:00,2026-04-21 00:10:59,PQM,263.88,894.94,214.24,234.52,91.35,38.23,41.44,303.10,915.32,248.12,275.68,90.00,39.03,64.90,267.24,913.40,210.43,243.72,86.34,38.52,81.94,278.07,907.89,672.79,753.92,89.23,38.59,188.29
2026-04-21 00:11:00,2026-04-21 00:11:59,Main PF,275.80,909.70,231.60,250.00,93.80,35.70,86.80,275.10,947.70,244.40,260.40,94.30,36.00,87.31,277.20,946.60,246.30,262.00,94.20,34.90,86.43,276.03,934.67,722.30,772.40,94.10,35.53,260.54
2026-04-21 00:11:00,2026-04-21 00:11:59,PQM,263.82,943.21,225.44,246.85,91.33,37.17,47.21,303.14,963.09,262.35,290.92,90.18,37.98,70.44,267.22,975.86,223.48,259.02,86.28,37.17,90.34,278.06,960.72,711.27,796.80,89.26,37.44,208.00
2026-04-21 00:12:00,2026-04-21 00:12:59,Main PF,275.00,933.10,240.60,256.60,94.10,32.70,87.29,276.10,982.90,254.70,271.00,94.70,32.80,87.63,276.70,979.60,253.80,270.20,94.40,31.90,87.74,275.93,965.20,749.10,797.80,94.40,32.47,262.66
2026-04-21 00:12:00,2026-04-21 00:12:59,PQM,263.64,963.27,233.20,254.89,91.49,36.76,46.94,303.14,1000.37,275.06,303.84,90.53,37.16,71.91,266.96,1003.95,232.03,268.95,86.27,36.74,94.33,277.91,989.20,740.29,827.68,89.43,36.89,213.18
2026-04-21 00:13:00,2026-04-21 00:13:59,Main PF,275.40,914.70,233.40,251.40,93.90,35.40,86.09,276.20,963.90,249.10,265.80,94.50,36.30,86.69,277.00,947.80,246.30,262.30,94.30,35.10,86.09,276.20,942.13,728.80,779.50,94.23,35.60,258.86
2026-04-21 00:13:00,2026-04-21 00:13:59,PQM,263.55,1002.48,240.73,263.52,91.35,34.21,59.28,303.05,1036.92,282.04,314.14,89.78,34.71,90.79,266.82,1033.45,234.03,275.79,84.86,34.56,109.64,277.81,1024.28,756.80,853.45,88.66,34.49,259.71
2026-04-21 00:14:00,2026-04-21 00:14:59,Main PF,275.90,844.50,213.40,232.10,92.60,37.20,87.83,276.20,898.20,229.70,247.80,93.20,37.50,88.63,276.50,882.30,226.00,243.40,93.00,37.40,87.71,276.20,875.00,669.10,723.30,92.93,37.37,264.17
2026-04-21 00:14:00,2026-04-21 00:14:59,PQM,263.90,869.16,206.56,230.38,89.66,39.90,50.65,303.34,899.60,240.55,272.90,88.14,40.66,75.84,267.23,901.58,202.22,241.55,83.72,40.11,92.46,278.16,890.11,649.33,744.83,87.18,40.22,218.95
2026-04-21 00:15:00,2026-04-21 00:15:59,Main PF,276.00,833.90,208.40,229.90,91.90,37.70,89.23,275.30,859.80,217.10,236.20,92.70,37.90,88.74,277.20,861.00,219.00,238.50,92.70,36.90,87.66,276.17,851.57,644.50,704.60,92.43,37.50,265.63
2026-04-21 00:15:00,2026-04-21 00:15:59,PQM,264.05,855.69,202.55,226.33,89.49,40.18,50.62,303.37,882.99,235.19,267.25,88.00,40.99,75.05,267.39,890.36,198.18,236.94,83.64,40.31,90.90,278.27,876.35,635.92,730.52,87.05,40.49,216.57
2026-04-21 00:16:00,2026-04-21 00:16:59,Main PF,276.10,823.60,208.80,227.10,92.70,38.80,84.37,275.40,864.30,220.40,237.60,93.30,38.70,85.54,277.40,862.80,221.30,238.80,93.00,36.80,85.14,276.30,850.23,650.50,703.50,93.00,38.10,255.06
2026-04-21 00:16:00,2026-04-21 00:16:59,PQM,264.08,858.97,202.61,226.32,89.52,40.75,49.11,303.49,887.03,237.02,268.15,88.39,41.33,71.13,267.50,895.71,200.13,238.85,83.79,40.36,89.97,278.36,880.57,639.76,733.33,87.23,40.81,210.20
