Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-22 00:00:00,2026-04-22 00:00:59,Q12,481.80,102.70,9.80,49.10,20.70,5.40,28.80,482.90,108.50,11.40,52.10,22.40,5.00,30.20,480.10,104.80,8.30,49.90,17.20,6.10,29.66,481.60,105.33,29.50,151.10,20.10,5.50,88.66
2026-04-22 00:01:00,2026-04-22 00:01:59,Q12,481.10,103.20,10.30,49.50,21.60,4.90,28.80,482.80,108.70,11.40,52.10,22.80,4.50,30.31,481.10,105.70,8.50,50.50,17.60,5.70,29.54,481.67,105.87,30.20,152.10,20.67,5.03,88.66
2026-04-22 00:02:00,2026-04-22 00:02:59,Q12,481.20,104.00,10.00,50.00,20.40,5.70,29.03,482.20,109.20,11.40,52.50,22.20,5.00,30.46,480.40,106.00,8.00,50.90,16.80,6.70,29.91,481.27,106.40,29.40,153.40,19.80,5.80,89.40
2026-04-22 00:03:00,2026-04-22 00:03:59,Q12,480.60,104.30,9.80,49.90,20.90,4.50,29.03,482.60,108.30,11.40,52.10,22.60,4.30,30.31,480.50,105.50,8.50,50.40,17.70,5.40,29.77,481.23,106.03,29.70,152.40,20.40,4.73,89.11
2026-04-22 00:04:00,2026-04-22 00:04:59,Q12,481.70,105.00,10.50,50.50,21.20,5.70,28.94,481.20,110.10,12.00,52.90,23.70,4.40,30.46,481.30,106.90,8.50,51.00,17.60,6.10,30.06,481.40,107.33,31.00,154.40,20.83,5.40,89.46
2026-04-22 00:05:00,2026-04-22 00:05:59,Q12,482.20,102.10,9.80,49.20,20.40,5.20,28.66,481.40,108.20,11.70,51.90,23.40,4.80,30.09,480.20,105.80,8.50,50.40,17.10,5.80,29.89,481.27,105.37,30.00,151.50,20.30,5.27,88.63
2026-04-22 00:06:00,2026-04-22 00:06:59,Q12,481.20,102.60,9.80,49.10,20.20,5.50,28.71,482.70,107.70,11.20,51.60,22.40,4.50,29.94,479.80,105.70,8.50,50.30,17.20,6.40,29.57,481.23,105.33,29.50,151.00,19.93,5.47,88.23
2026-04-22 00:07:00,2026-04-22 00:07:59,Q12,482.40,13.40,2.00,6.30,34.00,6.80,3.51,482.60,14.80,2.10,6.70,35.40,7.30,3.83,483.20,13.40,1.70,6.30,28.30,6.70,3.74,482.73,13.87,5.80,19.30,32.57,6.93,11.09
2026-04-22 00:08:00,2026-04-22 00:08:59,Q12,483.10,2.90,0.00,1.00,76.50,67.80,-0.37,482.70,3.10,0.90,1.40,92.20,67.70,-0.23,481.80,2.60,0.00,1.00,85.90,79.40,-0.20,482.53,2.87,0.90,3.40,84.87,71.63,-0.80
2026-04-22 00:09:00,2026-04-22 00:09:59,Q12,483.60,5.90,0.40,2.40,21.40,28.00,-1.57,482.80,5.70,0.50,2.40,26.80,28.50,-1.49,481.20,5.50,0.40,2.40,18.70,27.50,-1.46,482.53,5.70,1.30,7.20,22.30,28.00,-4.51
2026-04-22 00:10:00,2026-04-22 00:10:59,Q12,482.30,6.00,0.40,2.90,19.90,27.40,-1.57,483.80,5.80,0.50,2.40,25.70,27.80,-1.49,482.70,5.70,0.30,2.40,17.80,25.80,-1.43,482.93,5.83,1.20,7.70,21.13,27.00,-4.49
2026-04-22 00:11:00,2026-04-22 00:11:59,Q12,483.50,5.90,0.40,2.40,20.80,28.40,-1.54,482.70,5.70,0.50,2.40,25.00,28.50,-1.49,483.30,5.60,0.30,2.40,17.80,26.90,-1.46,483.17,5.73,1.20,7.20,21.20,27.93,-4.49
2026-04-22 00:12:00,2026-04-22 00:12:59,Q12,484.40,5.90,0.40,2.40,20.90,27.60,-1.57,483.70,5.80,0.50,2.40,25.60,28.10,-1.49,482.10,5.60,0.30,2.40,17.60,26.50,-1.46,483.40,5.77,1.20,7.20,21.37,27.40,-4.51
2026-04-22 00:13:00,2026-04-22 00:13:59,Q12,483.00,6.00,0.40,2.90,20.50,27.70,-1.57,484.10,5.90,0.50,2.40,25.70,28.40,-1.49,481.50,5.50,0.30,2.40,17.10,26.70,-1.46,482.87,5.80,1.20,7.70,21.10,27.60,-4.51
2026-04-22 00:14:00,2026-04-22 00:14:59,Q12,482.30,5.90,0.40,2.40,19.90,27.30,-1.57,483.20,5.80,0.50,2.40,25.30,27.20,-1.49,483.30,5.60,0.30,2.40,17.80,27.40,-1.43,482.93,5.77,1.20,7.20,21.00,27.30,-4.49
2026-04-22 00:15:00,2026-04-22 00:15:59,Q12,483.60,5.90,0.40,2.40,20.50,26.80,-1.54,483.50,5.90,0.50,2.40,25.20,28.20,-1.49,482.30,5.70,0.30,2.40,17.60,26.20,-1.46,483.13,5.83,1.20,7.20,21.10,27.07,-4.49
2026-04-22 00:16:00,2026-04-22 00:16:59,Q12,483.30,6.00,0.40,2.90,19.90,26.40,-1.57,483.00,5.80,0.50,2.40,24.30,27.70,-1.49,483.60,5.70,0.30,2.40,17.50,26.80,-1.46,483.30,5.83,1.20,7.70,20.57,26.97,-4.51
