Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-22 00:00:00,2026-04-22 00:00:59,*PQM,264.86,1039.53,243.34,273.05,89.12,37.11,76.16,304.42,1076.97,280.40,326.08,85.99,37.90,118.58,267.62,1042.37,224.67,277.51,80.96,37.95,125.39,278.97,1052.96,748.41,876.64,85.36,37.65,320.14
2026-04-22 00:01:00,2026-04-22 00:01:59,*PQM,264.74,999.98,236.07,265.31,88.98,37.42,72.73,304.32,1039.28,271.74,316.57,85.84,38.37,114.65,267.38,1004.06,217.49,269.03,80.84,38.47,120.82,278.81,1014.44,725.30,850.90,85.22,38.09,308.20
2026-04-22 00:02:00,2026-04-22 00:02:59,*PQM,264.82,1002.32,238.66,267.86,89.10,37.19,73.37,304.28,1036.66,272.92,318.44,85.71,38.03,115.86,267.48,1004.47,219.30,270.50,81.07,38.21,121.21,278.86,1014.48,730.88,856.80,85.29,37.81,310.44
2026-04-22 00:03:00,2026-04-22 00:03:59,*PQM,264.76,1017.35,242.13,272.11,88.98,36.17,77.80,304.23,1047.80,275.78,322.69,85.46,37.28,121.51,267.44,1020.29,221.57,275.01,80.57,37.19,126.40,278.81,1028.48,739.49,869.81,85.01,36.88,325.71
2026-04-22 00:04:00,2026-04-22 00:04:59,*PQM,264.81,1012.11,236.84,266.98,88.71,36.35,78.78,304.31,1043.69,270.43,316.08,85.56,37.51,119.25,267.52,1021.47,218.77,271.60,80.55,37.14,125.91,278.88,1025.76,726.04,854.66,84.94,37.00,323.94
2026-04-22 00:05:00,2026-04-22 00:05:59,*PQM,264.69,1021.90,238.33,268.36,88.81,36.39,79.49,304.13,1054.26,270.93,316.35,85.64,37.62,119.14,267.48,1030.06,221.13,273.20,80.94,37.24,125.93,278.77,1035.40,730.39,857.91,85.13,37.08,324.57
2026-04-22 00:06:00,2026-04-22 00:06:59,*PQM,264.69,1024.08,238.62,268.25,88.95,36.32,78.67,304.11,1054.39,272.52,318.34,85.60,37.32,120.09,267.40,1032.74,220.10,272.63,80.73,37.13,126.40,278.73,1037.07,731.23,859.22,85.10,36.92,325.15
2026-04-22 00:07:00,2026-04-22 00:07:59,*PQM,265.26,950.10,225.92,251.53,89.82,38.19,59.27,304.70,972.49,257.92,296.36,87.03,39.55,94.89,268.00,952.26,211.58,254.65,83.09,39.26,102.74,279.32,958.28,695.42,802.53,86.65,39.00,256.90
2026-04-22 00:08:00,2026-04-22 00:08:59,*PQM,265.28,857.39,206.20,229.46,89.86,37.20,57.28,304.56,877.25,233.30,268.42,86.92,38.71,89.22,267.85,864.67,192.66,232.04,83.03,38.25,95.41,279.23,866.44,632.17,729.92,86.60,38.05,241.91
2026-04-22 00:09:00,2026-04-22 00:09:59,*PQM,265.44,869.49,209.71,232.28,90.28,37.45,54.72,304.67,885.62,236.18,271.08,87.13,39.11,88.61,268.03,862.61,194.38,232.64,83.56,38.94,93.10,279.38,872.57,640.27,735.99,86.99,38.50,236.43
2026-04-22 00:10:00,2026-04-22 00:10:59,*PQM,265.42,858.13,206.13,228.55,90.19,38.08,52.27,304.54,874.74,231.90,266.38,87.06,39.71,85.64,267.92,848.53,191.11,228.46,83.65,39.48,89.83,279.29,860.47,629.14,723.39,86.97,39.09,227.74
2026-04-22 00:11:00,2026-04-22 00:11:59,*PQM,265.74,821.95,196.68,218.52,90.01,39.94,46.43,304.97,835.13,222.39,254.76,87.29,41.65,75.92,268.34,819.41,184.53,219.74,83.98,41.09,81.99,279.68,825.50,603.60,693.01,87.09,40.89,204.34
2026-04-22 00:12:00,2026-04-22 00:12:59,*PQM,265.80,819.78,196.77,218.52,90.05,39.87,46.59,305.06,832.59,223.47,255.26,87.55,41.41,75.22,268.40,823.44,185.55,220.93,83.98,40.73,82.62,279.75,825.27,605.79,694.71,87.19,40.67,204.43
2026-04-22 00:13:00,2026-04-22 00:13:59,*PQM,265.69,824.58,196.89,218.54,90.10,39.79,46.07,304.85,838.55,222.64,254.45,87.50,41.46,75.15,268.30,818.48,184.59,219.35,84.15,40.92,81.57,279.61,827.20,604.13,692.34,87.25,40.72,202.79
2026-04-22 00:14:00,2026-04-22 00:14:59,*PQM,265.65,839.62,201.68,223.67,90.17,39.84,46.87,304.80,848.83,227.13,259.76,87.44,41.65,76.96,268.28,829.37,188.52,223.99,84.17,41.05,82.64,279.58,839.27,617.33,707.42,87.26,40.85,206.47
2026-04-22 00:15:00,2026-04-22 00:15:59,*PQM,265.64,844.55,203.15,225.41,90.12,38.89,49.97,304.78,855.74,228.16,261.48,87.26,40.70,81.00,268.14,837.25,189.01,225.22,83.92,40.19,85.99,279.52,845.85,620.31,712.11,87.10,39.93,216.96
2026-04-22 00:16:00,2026-04-22 00:16:59,*PQM,265.90,823.12,196.92,218.82,89.99,39.77,47.25,305.02,828.71,221.64,254.07,87.23,41.55,76.48,268.47,810.10,184.14,219.28,83.98,40.94,82.17,279.80,820.64,602.70,692.17,87.07,40.75,205.90
2026-04-22 00:17:00,2026-04-22 00:17:59,*PQM,265.74,820.83,195.84,217.24,90.15,39.71,46.37,304.96,833.24,220.41,253.19,87.05,41.57,77.03,268.26,814.16,181.96,217.36,83.71,41.19,81.96,279.65,822.74,598.21,687.79,86.97,40.82,205.35
2026-04-22 00:18:00,2026-04-22 00:18:59,*PQM,265.75,827.87,198.78,220.27,90.24,39.07,48.02,305.07,845.76,224.17,257.48,87.06,40.68,80.61,268.24,816.34,183.80,219.97,83.56,40.64,84.71,279.69,829.99,606.75,697.72,86.96,40.13,213.34
2026-04-22 00:19:00,2026-04-22 00:19:59,*PQM,265.76,836.39,199.07,220.41,90.32,39.04,48.19,305.05,849.40,224.69,257.76,87.17,40.67,80.16,268.32,831.45,184.86,220.77,83.73,40.58,84.96,279.71,839.08,608.62,698.94,87.08,40.10,213.32
2026-04-22 00:20:00,2026-04-22 00:20:59,*PQM,265.73,835.92,200.77,222.30,90.31,38.26,49.96,305.03,857.87,227.78,260.90,87.30,39.77,82.71,268.24,834.11,187.11,223.85,83.59,39.57,88.05,279.67,842.64,615.66,707.05,87.07,39.20,220.72
2026-04-22 00:21:00,2026-04-22 00:21:59,*PQM,265.92,817.47,196.24,217.55,90.20,39.09,47.11,305.22,840.79,222.55,255.35,87.16,40.54,80.33,268.52,807.60,181.79,218.02,83.38,40.64,84.76,279.89,821.96,600.58,690.91,86.91,40.09,212.20
2026-04-22 00:22:00,2026-04-22 00:22:59,*PQM,266.02,802.95,191.88,212.80,90.17,40.44,43.17,305.33,819.76,217.88,249.93,87.18,42.00,74.70,268.52,797.00,178.93,214.05,83.59,41.87,80.04,279.96,806.57,588.69,676.79,86.98,41.44,197.91
2026-04-22 00:23:00,2026-04-22 00:23:59,*PQM,266.05,797.36,190.78,211.49,90.21,40.32,42.33,305.34,818.53,218.44,250.19,87.31,41.53,74.54,268.60,787.18,177.18,211.67,83.71,41.85,79.50,280.00,801.03,586.40,673.36,87.07,41.23,196.37
2026-04-22 00:24:00,2026-04-22 00:24:59,*PQM,266.22,806.07,193.84,214.71,90.28,40.21,42.62,305.51,829.11,219.69,252.08,87.15,41.68,76.13,268.62,794.50,178.52,213.15,83.76,42.12,79.37,280.12,809.90,592.05,679.93,87.06,41.34,198.12
2026-04-22 00:25:00,2026-04-22 00:25:59,*PQM,266.12,794.26,191.52,212.65,90.06,40.55,43.15,305.42,814.34,217.25,249.30,87.14,42.00,74.49,268.71,793.29,177.85,212.54,83.68,42.11,79.36,280.08,800.63,586.62,674.49,86.96,41.55,197.00
2026-04-22 00:26:00,2026-04-22 00:26:59,*PQM,266.13,793.86,191.03,212.42,89.93,40.55,43.67,305.48,817.02,217.66,249.58,87.21,41.97,74.34,268.68,793.09,178.32,213.40,83.56,41.94,80.17,280.10,801.32,587.01,675.40,86.90,41.49,198.17
2026-04-22 00:27:00,2026-04-22 00:27:59,*PQM,266.02,832.30,198.79,220.59,90.12,38.43,49.80,305.37,850.30,225.07,258.92,86.93,39.91,83.63,268.57,824.61,183.77,220.87,83.20,39.91,88.53,279.99,835.74,607.63,700.37,86.75,39.42,221.95
2026-04-22 00:28:00,2026-04-22 00:28:59,*PQM,265.99,843.41,202.80,224.53,90.33,37.65,51.42,305.39,865.18,229.66,264.07,86.97,38.98,87.88,268.61,831.93,185.49,223.45,83.01,39.30,91.25,280.00,846.84,617.96,712.05,86.77,38.64,230.55
2026-04-22 00:29:00,2026-04-22 00:29:59,*PQM,265.80,857.72,205.13,226.75,90.46,37.55,51.74,305.09,876.50,230.87,265.48,86.96,39.02,88.05,268.32,844.28,187.21,225.01,83.20,39.28,90.93,279.74,859.50,623.21,717.24,86.88,38.62,230.72
2026-04-22 00:30:00,2026-04-22 00:30:59,*PQM,265.67,830.20,197.54,219.61,89.95,38.06,52.54,304.93,841.96,222.10,256.93,86.45,39.72,86.80,268.21,811.24,180.57,218.43,82.67,39.84,89.67,279.60,827.80,600.21,694.96,86.35,39.21,229.01
2026-04-22 00:31:00,2026-04-22 00:31:59,*PQM,265.87,812.54,195.63,217.25,90.05,38.55,49.85,305.14,829.81,220.82,254.58,86.74,40.16,83.77,268.35,804.90,178.97,216.10,82.82,40.30,87.22,279.79,815.75,595.42,687.93,86.53,39.67,220.84
2026-04-22 00:32:00,2026-04-22 00:32:59,*PQM,265.95,812.40,195.27,216.74,90.10,38.80,50.09,305.26,828.16,219.35,253.77,86.44,40.41,84.17,268.43,798.82,178.39,215.59,82.75,40.59,86.94,279.88,813.12,593.01,686.09,86.43,39.93,221.19
