Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-22 00:00:00,2026-04-22 00:00:59,Q10,483.70,107.30,49.50,51.70,97.50,74.90,5.34,485.80,117.80,54.30,56.70,97.40,74.70,6.03,479.60,111.60,50.30,53.20,95.20,76.10,7.60,483.03,112.23,154.10,161.60,96.70,75.23,18.97
2026-04-22 00:01:00,2026-04-22 00:01:59,Q10,483.40,96.00,44.60,46.40,97.90,79.40,4.34,485.20,109.40,50.40,52.90,97.50,78.50,5.26,480.50,99.10,44.70,47.50,95.50,80.90,6.57,483.03,101.50,139.70,146.80,96.97,79.60,16.17
2026-04-22 00:02:00,2026-04-22 00:02:59,Q10,484.20,91.30,43.10,44.00,98.10,80.40,3.89,484.10,101.40,46.60,48.90,97.60,79.90,4.86,480.10,92.00,41.80,44.20,95.70,81.70,5.89,482.80,94.90,131.50,137.10,97.13,80.67,14.63
2026-04-22 00:03:00,2026-04-22 00:03:59,Q10,483.10,88.90,41.20,42.50,98.20,82.60,3.60,485.80,95.80,44.60,46.10,97.70,81.50,4.49,479.50,90.80,40.80,43.10,95.90,83.40,5.54,482.80,91.83,126.60,131.70,97.27,82.50,13.63
2026-04-22 00:04:00,2026-04-22 00:04:59,Q10,483.10,85.30,40.20,41.10,98.20,80.60,3.40,485.90,95.50,45.10,46.10,98.00,79.80,4.09,479.50,87.50,39.00,41.70,95.90,82.30,5.34,482.83,89.43,124.30,128.90,97.37,80.90,12.83
2026-04-22 00:05:00,2026-04-22 00:05:59,Q10,484.10,85.00,40.20,41.10,98.30,80.20,3.40,485.00,95.90,44.60,46.10,97.90,78.50,4.23,478.80,88.00,39.90,42.10,95.80,82.10,5.54,482.63,89.63,124.70,129.30,97.33,80.27,13.17
2026-04-22 00:06:00,2026-04-22 00:06:59,Q10,483.30,84.60,39.20,40.60,98.30,81.50,3.29,484.60,93.00,43.70,45.00,97.90,82.70,4.11,480.20,88.50,39.90,42.20,95.90,84.50,5.23,482.70,88.70,122.80,127.80,97.37,82.90,12.63
2026-04-22 00:07:00,2026-04-22 00:07:59,Q10,484.30,80.40,37.20,38.70,98.50,83.10,2.91,487.00,87.80,41.20,42.40,98.00,84.80,3.66,480.60,81.30,36.50,38.90,96.30,86.20,4.57,483.97,83.17,114.90,120.00,97.60,84.70,11.14
2026-04-22 00:08:00,2026-04-22 00:08:59,Q10,484.00,87.60,41.20,42.10,98.30,85.40,3.43,486.70,99.00,47.00,48.10,98.00,85.70,4.23,480.80,91.20,40.80,43.70,95.90,87.30,5.51,483.83,92.60,129.00,133.90,97.40,86.13,13.17
2026-04-22 00:09:00,2026-04-22 00:09:59,Q10,483.80,97.00,45.10,46.90,98.10,82.50,3.97,485.70,107.30,49.50,51.90,97.60,82.30,4.91,481.60,97.20,44.20,46.70,96.00,84.80,5.83,483.70,100.50,138.80,145.50,97.23,83.20,14.71
2026-04-22 00:10:00,2026-04-22 00:10:59,Q10,485.70,88.70,41.20,42.70,98.40,85.50,3.34,486.40,98.20,45.60,47.60,97.90,84.70,4.26,480.40,90.50,41.30,43.20,96.20,85.20,5.23,484.17,92.47,128.10,133.50,97.50,85.13,12.83
2026-04-22 00:11:00,2026-04-22 00:11:59,Q10,484.60,86.00,40.20,41.60,98.40,85.60,3.23,487.10,95.70,44.60,46.30,97.90,85.50,4.09,480.90,88.90,40.30,42.20,96.40,87.60,4.97,484.20,90.20,125.10,130.10,97.57,86.23,12.29
2026-04-22 00:12:00,2026-04-22 00:12:59,Q10,485.70,82.00,38.20,39.80,98.60,86.20,2.83,486.80,91.20,43.10,44.20,98.00,82.70,3.77,481.10,83.00,37.40,39.90,96.50,85.80,4.54,484.53,85.40,118.70,123.90,97.70,84.90,11.14
2026-04-22 00:13:00,2026-04-22 00:13:59,Q10,485.10,96.80,45.10,46.60,98.10,83.20,3.97,486.50,103.80,48.50,50.10,97.70,82.50,4.74,480.60,96.30,44.20,46.10,96.30,85.30,5.54,484.07,98.97,137.80,142.80,97.37,83.67,14.26
2026-04-22 00:14:00,2026-04-22 00:14:59,Q10,484.70,100.20,47.00,48.40,98.00,79.00,4.29,485.50,106.30,49.50,51.40,97.60,78.70,5.06,482.30,102.10,47.00,49.20,96.30,79.60,5.83,484.17,102.87,143.50,149.00,97.30,79.10,15.17
2026-04-22 00:15:00,2026-04-22 00:15:59,Q10,485.20,92.50,43.10,44.60,98.20,85.50,3.66,485.40,97.40,45.60,47.00,97.70,84.90,4.46,482.30,92.20,42.20,44.30,96.50,87.10,5.11,484.30,94.03,130.90,135.90,97.47,85.83,13.23
2026-04-22 00:16:00,2026-04-22 00:16:59,Q10,485.90,85.10,40.20,41.20,98.40,82.30,3.23,485.60,95.20,44.60,46.10,97.80,83.90,4.11,482.10,86.40,39.40,41.50,96.50,85.70,4.71,484.53,88.90,124.20,128.80,97.57,83.97,12.06
2026-04-22 00:17:00,2026-04-22 00:17:59,Q10,484.80,81.50,38.20,39.20,98.80,86.80,2.57,485.90,88.80,40.70,42.70,97.70,83.40,4.00,482.30,81.10,37.40,39.00,96.60,86.60,4.29,484.33,83.80,116.30,120.90,97.70,85.60,10.86
