Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,avgKw,avgKva,avgPf,avgTHD,avgKvar,peakKva,peakKw
2026-04-06 20:00:00,2026-04-06 20:14:59,PQM,263.75,900.60,219.11,237.57,92.23,30.45,58.70,303.34,892.13,244.42,271.16,90.14,32.26,83.05,267.18,910.82,212.00,243.53,87.05,31.19,94.00,278.09,901.18,675.54,752.26,89.81,31.30,235.76,766.72,685.07
2026-04-06 20:15:00,2026-04-06 20:29:59,PQM,263.80,1022.07,245.27,269.95,90.89,30.55,77.69,303.56,1018.96,274.61,309.80,88.69,32.44,106.25,267.27,1039.20,236.26,277.98,85.06,31.10,118.26,278.21,1026.74,756.14,857.74,88.21,31.36,302.20,912.61,800.97
2026-04-06 20:30:00,2026-04-06 20:44:59,PQM,264.56,905.92,220.46,239.88,91.91,30.89,60.86,304.32,896.17,245.77,273.11,89.99,32.79,84.12,268.12,919.38,214.14,246.71,86.81,31.57,95.68,279.00,907.16,680.37,759.70,89.57,31.75,240.67,787.15,704.08
2026-04-06 20:45:00,2026-04-06 20:59:59,PQM,264.93,887.45,216.33,235.06,92.03,30.58,59.54,304.65,876.00,239.47,266.87,89.73,32.40,85.26,268.41,891.23,207.26,239.04,86.71,31.51,93.55,279.33,884.89,663.06,740.97,89.49,31.50,238.35,763.15,681.86
2026-04-06 21:00:00,2026-04-06 21:14:59,PQM,265.31,884.37,216.48,235.39,91.97,29.28,63.04,305.10,871.26,238.05,266.33,89.38,31.13,90.29,268.84,882.76,205.49,238.00,86.34,30.44,96.67,279.75,879.46,660.02,739.72,89.23,30.29,250.00,768.93,684.77
2026-04-06 21:15:00,2026-04-06 21:29:59,PQM,265.21,1003.33,239.89,265.94,90.25,30.30,83.04,305.16,999.75,267.95,304.69,87.98,32.20,111.30,268.81,1021.48,230.68,274.50,84.10,30.77,122.76,279.72,1008.19,738.52,845.14,87.44,31.09,317.11,891.34,781.64
2026-04-06 21:30:00,2026-04-06 21:44:59,PQM,266.13,860.18,209.81,228.68,91.75,29.11,63.74,306.13,849.08,231.41,259.44,89.20,31.19,89.00,269.66,862.15,200.38,232.75,86.09,30.25,96.26,280.64,857.14,641.60,720.86,89.01,30.18,248.99,752.41,670.13
2026-04-06 21:45:00,2026-04-06 21:59:59,PQM,266.22,876.64,212.58,233.36,91.16,29.56,68.74,306.39,871.16,236.20,266.94,88.56,31.62,95.50,269.84,884.96,202.95,238.97,85.04,30.64,103.50,280.82,877.59,651.73,739.26,88.25,30.60,267.75,880.58,756.79
2026-04-06 22:00:00,2026-04-06 22:14:59,PQM,265.53,916.26,220.49,243.33,90.74,29.57,74.38,305.46,912.94,245.50,278.99,88.15,31.27,103.07,269.16,925.12,209.83,248.98,84.48,30.50,110.72,280.05,918.11,675.83,771.30,87.79,30.45,288.17,879.88,762.20
2026-04-06 22:15:00,2026-04-06 22:29:59,PQM,265.31,796.94,193.74,211.16,91.75,29.85,57.41,305.03,782.69,213.27,238.89,89.28,31.68,80.64,268.97,798.58,185.49,215.02,86.27,30.80,87.42,279.77,792.74,592.51,665.07,89.10,30.78,225.47,694.70,617.32
2026-04-06 22:30:00,2026-04-06 22:44:59,PQM,265.75,801.01,194.98,213.03,91.53,30.44,58.47,305.56,788.85,214.33,240.92,88.97,32.41,82.06,269.33,803.14,186.21,216.59,85.97,31.40,88.50,280.22,797.67,595.52,670.54,88.82,31.42,229.04,689.82,609.43
2026-04-06 22:45:00,2026-04-06 22:59:59,PQM,266.27,805.97,195.94,214.29,91.43,31.50,57.25,306.12,792.94,215.06,242.69,88.61,33.57,82.23,269.79,802.48,185.58,216.37,85.77,32.81,87.55,280.72,800.47,596.58,673.35,88.61,32.63,227.03,683.68,605.31
2026-04-06 23:00:00,2026-04-06 23:14:59,PQM,265.58,868.67,211.68,231.05,91.62,31.33,59.60,305.55,859.24,234.29,262.71,89.18,33.48,85.05,269.18,872.77,202.74,235.32,86.15,32.66,92.86,280.10,866.89,648.72,729.08,88.98,32.49,237.51,753.31,671.01
2026-04-06 23:15:00,2026-04-06 23:29:59,PQM,264.90,1015.44,244.28,269.50,90.70,31.45,77.51,304.92,1017.95,274.68,310.90,88.41,33.19,107.85,268.46,1031.88,234.40,277.54,84.57,32.11,119.25,279.43,1021.76,753.36,857.94,87.89,32.25,304.60,936.02,821.60
2026-04-06 23:30:00,2026-04-06 23:44:59,PQM,265.25,985.45,239.60,261.83,91.54,32.12,65.87,305.36,989.04,270.81,302.05,89.70,33.82,92.56,268.78,1006.75,233.12,270.80,86.14,32.58,106.79,279.80,993.75,743.54,834.68,89.13,32.84,265.22,925.72,810.67
