Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-22 00:00:00,2026-04-22 00:00:59,Q09,482.00,202.00,93.10,97.40,96.10,55.10,14.03,482.50,209.80,96.00,100.70,96.70,55.40,13.37,480.20,204.30,92.20,97.90,95.40,55.40,15.29,481.57,205.37,281.30,296.00,96.07,55.30,42.69
2026-04-22 00:01:00,2026-04-22 00:01:59,Q09,482.90,200.20,92.20,96.40,96.20,54.90,13.71,483.50,213.70,97.90,102.90,96.70,55.20,13.34,478.90,203.20,92.20,97.00,95.00,54.60,15.83,481.77,205.70,282.30,296.30,95.97,54.90,42.89
2026-04-22 00:02:00,2026-04-22 00:02:59,Q09,482.40,202.10,93.10,97.40,96.00,54.90,13.91,481.90,211.90,97.00,101.50,96.50,58.60,13.63,480.00,204.70,92.20,97.90,95.00,56.50,15.69,481.43,206.23,282.30,296.80,95.83,56.67,43.23
2026-04-22 00:03:00,2026-04-22 00:03:59,Q09,481.90,201.30,92.20,96.70,96.00,56.40,13.97,482.50,211.50,97.00,101.70,96.60,58.80,13.26,480.00,204.70,92.20,97.90,95.20,57.40,15.40,481.47,205.83,281.40,296.30,95.93,57.53,42.63
2026-04-22 00:04:00,2026-04-22 00:04:59,Q09,482.60,198.60,90.20,95.40,95.90,55.30,13.94,482.20,208.30,96.00,100.30,96.70,57.10,13.03,479.50,203.20,92.20,97.20,95.00,56.60,15.60,481.43,203.37,278.40,292.90,95.87,56.33,42.57
2026-04-22 00:05:00,2026-04-22 00:05:59,Q09,481.90,198.80,90.20,95.20,95.90,57.10,13.91,483.60,208.90,96.00,100.50,96.90,58.30,12.71,478.50,205.70,91.20,98.00,94.90,57.10,15.86,481.33,204.47,277.40,293.70,95.90,57.50,42.49
2026-04-22 00:06:00,2026-04-22 00:06:59,Q09,481.10,199.10,90.20,95.70,95.70,55.00,14.23,483.70,209.90,96.00,100.90,96.70,56.30,12.91,479.20,203.30,92.20,97.20,95.10,55.80,15.49,481.33,204.10,278.40,293.80,95.83,55.70,42.63
2026-04-22 00:07:00,2026-04-22 00:07:59,Q09,482.80,202.70,92.20,97.40,95.40,63.40,14.74,483.50,213.40,97.90,102.90,96.30,64.90,13.57,481.80,204.70,93.10,98.10,95.00,62.60,15.51,482.70,206.93,283.20,298.40,95.57,63.63,43.83
2026-04-22 00:08:00,2026-04-22 00:08:59,Q09,483.50,204.80,93.10,98.50,95.60,63.00,14.43,482.90,214.90,98.90,103.10,96.50,64.90,13.31,480.90,209.50,94.00,100.30,94.70,60.00,15.97,482.43,209.73,286.00,301.90,95.60,62.63,43.71
2026-04-22 00:09:00,2026-04-22 00:09:59,Q09,483.10,198.20,90.20,95.60,95.60,64.80,14.20,484.20,214.50,98.90,103.60,96.30,65.00,13.46,479.90,206.10,92.10,98.70,94.80,64.90,15.51,482.40,206.27,281.20,297.90,95.57,64.90,43.17
2026-04-22 00:10:00,2026-04-22 00:10:59,Q09,483.80,200.00,91.20,96.60,95.60,65.00,14.03,483.80,210.10,97.00,101.40,96.40,67.30,13.20,480.20,204.80,91.20,97.90,94.80,64.30,15.46,482.60,204.97,279.40,295.90,95.60,65.53,42.69
2026-04-22 00:11:00,2026-04-22 00:11:59,Q09,483.30,200.60,91.20,96.60,95.70,63.60,13.80,485.00,210.80,97.00,101.80,96.40,66.10,12.94,480.30,202.30,90.20,97.00,94.90,62.60,15.17,482.87,204.57,278.40,295.40,95.67,64.10,41.91
2026-04-22 00:12:00,2026-04-22 00:12:59,Q09,483.00,196.30,89.30,94.70,95.50,65.70,13.94,484.70,208.10,96.00,100.70,96.30,66.50,13.03,481.90,203.10,91.20,97.60,94.90,65.60,15.03,483.20,202.50,276.50,293.00,95.57,65.93,42.00
2026-04-22 00:13:00,2026-04-22 00:13:59,Q09,484.30,195.10,89.30,94.40,95.80,65.20,13.51,483.20,206.60,95.00,99.50,96.20,67.20,13.29,480.40,197.60,88.40,94.60,94.80,66.00,15.00,482.63,199.77,272.70,288.50,95.60,66.13,41.80
2026-04-22 00:14:00,2026-04-22 00:14:59,Q09,482.60,195.00,88.30,94.00,95.30,66.10,13.97,485.00,201.10,93.10,97.50,96.40,67.80,12.57,480.90,199.00,89.30,95.50,94.90,64.80,14.91,482.83,198.37,270.70,287.00,95.53,66.23,41.46
2026-04-22 00:15:00,2026-04-22 00:15:59,Q09,482.70,196.00,89.30,94.50,95.40,65.90,13.91,484.40,203.50,94.10,98.30,96.20,68.60,12.91,482.10,199.60,90.20,95.90,95.00,65.40,14.54,483.07,199.70,273.60,288.70,95.53,66.63,41.37
2026-04-22 00:16:00,2026-04-22 00:16:59,Q09,483.10,194.60,88.30,93.70,95.50,66.10,13.71,484.50,203.60,94.10,98.30,96.20,69.00,12.86,481.60,196.00,89.30,94.30,95.00,67.40,14.51,483.07,198.07,271.70,286.30,95.57,67.50,41.09
2026-04-22 00:17:00,2026-04-22 00:17:59,Q09,484.30,192.50,87.40,92.90,95.70,66.40,13.26,483.70,206.20,95.00,99.50,96.10,67.90,13.14,481.10,196.20,88.40,94.30,94.40,67.00,15.20,483.03,198.30,270.80,286.70,95.40,67.10,41.60
2026-04-22 00:18:00,2026-04-22 00:18:59,Q09,484.30,192.90,87.40,92.90,95.60,67.50,13.29,483.60,204.30,94.10,98.50,96.30,68.60,12.83,481.30,197.70,88.40,94.80,94.60,68.20,14.97,483.07,198.30,269.90,286.20,95.50,68.10,41.09
2026-04-22 00:19:00,2026-04-22 00:19:59,Q09,484.50,192.80,87.40,92.90,95.70,68.20,13.11,484.20,203.90,94.10,98.30,96.40,68.90,12.66,480.30,196.90,88.40,94.10,94.50,67.70,15.09,483.00,197.87,269.90,285.30,95.53,68.27,40.86
2026-04-22 00:20:00,2026-04-22 00:20:59,Q09,483.40,193.70,88.30,93.20,95.70,67.90,13.14,483.70,200.30,92.20,96.60,96.30,69.40,12.60,481.90,197.20,88.40,94.80,94.60,69.30,14.77,483.00,197.07,268.90,284.60,95.53,68.87,40.51
