Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-04-22 00:00:00,2026-04-22 00:00:59,Q08,483.60,125.20,53.40,60.40,89.50,24.30,15.34,481.90,127.40,52.50,61.10,86.30,25.90,17.80,480.00,117.90,47.60,56.20,85.40,25.90,16.89,481.83,123.50,153.50,177.70,87.07,25.37,50.03
2026-04-22 00:01:00,2026-04-22 00:01:59,Q08,482.30,134.90,57.60,64.60,90.80,22.50,15.60,482.20,138.90,56.80,66.50,86.10,24.60,19.26,480.90,124.30,50.70,59.50,86.50,26.50,17.00,481.80,132.70,165.10,190.60,87.80,24.53,51.86
2026-04-22 00:02:00,2026-04-22 00:02:59,Q08,482.50,128.90,55.50,61.70,91.00,22.70,14.91,482.60,133.00,54.40,64.10,85.90,24.30,19.00,480.10,118.10,47.60,56.60,85.90,25.20,16.74,481.73,126.67,157.50,182.40,87.60,24.07,50.66
2026-04-22 00:03:00,2026-04-22 00:03:59,Q08,483.30,140.20,61.00,67.60,91.20,22.10,16.09,481.90,145.30,59.30,69.70,86.20,22.40,20.46,479.70,129.50,52.50,61.80,86.20,25.20,18.06,481.63,138.33,172.80,199.10,87.87,23.23,54.60
2026-04-22 00:04:00,2026-04-22 00:04:59,Q08,482.50,133.50,57.00,64.10,89.50,21.40,16.43,481.20,133.60,53.50,64.00,85.50,23.60,19.43,481.60,124.50,50.20,59.60,85.40,23.70,17.69,481.77,130.53,160.70,187.70,86.80,22.90,53.54
2026-04-22 00:05:00,2026-04-22 00:05:59,Q08,482.40,139.00,58.70,67.00,89.70,22.20,17.03,482.70,139.90,56.10,67.00,85.80,23.90,19.83,480.40,128.90,52.50,61.40,86.60,25.40,17.74,481.83,135.93,167.30,195.40,87.37,23.83,54.60
2026-04-22 00:06:00,2026-04-22 00:06:59,Q08,482.60,134.30,57.00,64.60,89.90,22.60,16.29,482.30,139.40,56.10,67.00,85.30,23.80,20.11,479.80,124.60,49.60,59.40,84.70,25.30,18.29,481.57,132.77,162.70,191.00,86.63,23.90,54.69
2026-04-22 00:07:00,2026-04-22 00:07:59,Q08,484.50,141.80,61.20,68.20,90.40,22.80,16.83,482.70,145.30,59.30,69.90,86.10,23.70,20.40,480.80,132.00,54.20,63.40,86.20,25.90,18.26,482.67,139.70,174.70,201.50,87.57,24.13,55.49
2026-04-22 00:08:00,2026-04-22 00:08:59,Q08,483.60,136.10,57.20,65.70,88.60,26.50,17.54,481.60,135.40,53.80,64.90,84.80,29.10,19.91,482.30,126.00,51.00,60.70,85.80,29.60,17.89,482.50,132.50,162.00,191.30,86.40,28.40,55.34
2026-04-22 00:09:00,2026-04-22 00:09:59,Q08,483.20,142.40,61.20,68.60,90.10,25.70,16.94,482.80,145.70,58.70,69.90,85.10,27.00,20.69,482.40,129.40,53.30,62.20,86.00,28.70,18.00,482.80,139.17,173.20,200.70,87.07,27.13,55.63
2026-04-22 00:10:00,2026-04-22 00:10:59,Q08,483.30,146.50,63.70,70.50,91.00,25.50,16.80,481.70,148.70,60.30,71.20,85.30,27.30,21.43,482.70,129.60,53.30,62.20,86.60,29.60,17.94,482.57,141.60,177.30,203.90,87.63,27.47,56.17
2026-04-22 00:11:00,2026-04-22 00:11:59,Q08,485.20,141.80,60.50,68.40,89.90,25.10,17.00,482.30,140.10,56.30,67.50,84.20,26.40,20.83,482.50,126.40,51.60,60.70,86.20,29.00,17.40,483.33,136.10,168.40,196.60,86.77,26.83,55.23
2026-04-22 00:12:00,2026-04-22 00:12:59,Q08,485.60,145.20,62.30,70.30,89.70,26.70,17.60,482.70,145.30,59.30,69.90,86.00,28.10,20.43,482.20,134.10,55.00,64.60,86.50,28.70,18.51,483.50,141.53,176.60,204.80,87.40,27.83,56.54
2026-04-22 00:13:00,2026-04-22 00:13:59,Q08,485.40,143.80,62.10,69.40,90.60,25.10,16.94,482.30,144.90,58.70,69.40,85.30,26.70,20.94,481.70,129.30,53.30,62.00,86.60,28.30,17.83,483.13,139.33,174.10,200.80,87.50,26.70,55.71
2026-04-22 00:14:00,2026-04-22 00:14:59,Q08,485.00,147.60,63.90,71.30,90.50,25.50,17.31,481.80,148.30,60.30,71.20,85.00,27.50,21.37,482.50,135.90,55.90,65.10,86.90,28.80,17.83,483.10,143.93,180.10,207.60,87.47,27.27,56.51
2026-04-22 00:15:00,2026-04-22 00:15:59,Q08,483.50,144.20,62.80,69.60,91.20,26.20,16.51,483.50,145.80,60.20,70.00,86.40,28.50,19.97,482.30,131.50,55.40,63.10,88.40,29.50,16.74,483.10,140.50,178.40,202.70,88.67,28.07,53.23
2026-04-22 00:16:00,2026-04-22 00:16:59,Q08,483.80,142.30,61.20,68.60,90.60,27.30,16.54,483.70,142.10,58.50,68.60,86.50,29.30,19.43,482.90,130.50,53.90,62.70,87.90,30.10,16.94,483.47,138.30,173.60,199.90,88.33,28.90,52.91
2026-04-22 00:17:00,2026-04-22 00:17:59,Q08,485.10,141.90,61.20,68.40,90.90,25.90,16.37,483.20,143.30,58.70,69.10,85.40,28.70,20.40,481.40,127.90,53.10,61.10,87.30,30.10,16.91,483.23,137.70,173.00,198.60,87.87,28.23,53.69
2026-04-22 00:18:00,2026-04-22 00:18:59,Q08,484.30,144.50,62.80,69.70,91.50,26.90,15.97,483.00,145.50,60.20,70.00,86.30,28.40,20.11,482.80,128.70,53.10,61.70,87.70,29.90,16.94,483.37,139.57,176.10,201.40,88.50,28.40,53.03
2026-04-22 00:19:00,2026-04-22 00:19:59,Q08,484.50,143.90,62.80,69.20,91.50,26.90,16.03,482.40,145.80,59.30,69.90,86.10,28.70,20.34,483.10,127.10,53.10,61.30,87.50,31.00,17.09,483.33,138.93,175.20,200.40,88.37,28.87,53.46
2026-04-22 00:20:00,2026-04-22 00:20:59,Q08,485.30,137.00,59.40,66.40,90.40,25.50,16.03,482.80,138.60,56.80,66.50,86.50,27.80,19.00,481.70,126.80,51.60,60.60,86.80,28.70,17.11,483.27,134.13,167.80,193.50,87.90,27.33,52.14
2026-04-22 00:21:00,2026-04-22 00:21:59,Q08,484.00,145.80,63.70,70.20,91.40,27.00,16.37,483.50,147.20,61.10,71.00,86.40,28.90,20.37,482.80,133.40,55.70,64.10,87.80,31.20,17.23,483.43,142.13,180.50,205.30,88.53,29.03,53.97
2026-04-22 00:22:00,2026-04-22 00:22:59,Q08,483.90,137.10,60.10,66.20,91.30,25.80,15.34,483.40,142.10,57.80,68.60,85.30,27.90,20.11,483.30,124.20,50.70,59.90,86.10,30.60,16.94,483.53,134.47,168.60,194.70,87.57,28.10,52.40
2026-04-22 00:23:00,2026-04-22 00:23:59,Q08,485.70,143.40,62.80,69.40,91.70,27.20,15.83,483.70,145.50,60.20,70.00,86.10,29.30,20.40,482.00,129.70,53.90,62.20,87.40,31.30,17.09,483.80,139.53,176.90,201.60,88.40,29.27,53.31
2026-04-22 00:24:00,2026-04-22 00:24:59,Q08,484.50,135.70,58.50,65.30,90.20,27.40,16.03,484.40,136.80,55.20,65.80,85.80,29.30,19.20,482.30,125.10,51.60,60.20,86.50,30.90,16.97,483.73,132.53,165.30,191.30,87.50,29.20,52.20
2026-04-22 00:25:00,2026-04-22 00:25:59,Q08,484.90,143.00,62.80,69.20,91.50,27.10,15.97,482.70,143.40,57.80,68.90,85.70,28.70,20.43,483.70,126.40,52.20,60.90,87.40,31.10,16.86,483.77,137.60,172.80,199.00,88.20,28.97,53.26
2026-04-22 00:26:00,2026-04-22 00:26:59,Q08,485.80,136.10,59.20,66.00,91.20,27.00,15.51,482.80,139.00,56.10,67.00,85.50,28.70,19.89,483.10,123.60,50.70,59.40,86.50,30.50,16.83,483.90,132.90,166.00,192.40,87.73,28.73,52.23
2026-04-22 00:27:00,2026-04-22 00:27:59,Q08,485.90,143.00,62.80,69.40,91.50,27.30,15.86,483.30,145.00,60.20,70.00,86.40,28.30,20.14,482.10,132.70,54.80,63.60,87.10,31.10,17.37,483.77,140.23,177.80,203.00,88.33,28.90,53.37
2026-04-22 00:28:00,2026-04-22 00:28:59,Q08,484.50,136.20,58.50,65.80,90.00,27.60,16.23,483.90,137.20,56.10,66.20,85.90,29.30,19.00,483.10,126.20,51.60,60.90,86.80,30.70,16.86,483.83,133.20,166.20,192.90,87.57,29.20,52.09
2026-04-22 00:29:00,2026-04-22 00:29:59,Q08,485.20,146.30,63.70,70.80,91.80,27.50,15.83,482.70,148.80,61.10,71.30,86.20,28.70,20.66,482.90,130.10,53.90,62.70,87.00,30.90,17.49,483.60,141.73,178.70,204.80,88.33,29.03,53.97
2026-04-22 00:30:00,2026-04-22 00:30:59,Q08,483.20,148.00,65.30,71.50,92.10,26.60,15.91,483.10,152.90,62.80,73.40,86.90,27.70,20.51,482.40,134.90,55.70,64.60,87.90,30.10,17.34,482.90,145.27,183.80,209.50,88.97,28.13,53.77
2026-04-22 00:31:00,2026-04-22 00:31:59,Q08,484.70,141.10,61.90,68.20,91.70,27.40,15.54,483.50,145.70,60.20,70.00,86.10,29.30,20.34,481.30,127.90,52.50,61.10,86.70,31.70,17.37,483.17,138.23,174.60,199.30,88.17,29.47,53.26
2026-04-22 00:32:00,2026-04-22 00:32:59,Q08,485.40,134.40,57.00,65.00,89.70,27.30,16.43,482.60,134.70,54.40,64.60,85.60,29.30,19.34,481.30,123.60,50.70,59.20,86.10,30.30,17.37,483.10,130.90,162.10,188.80,87.13,28.97,53.14
2026-04-22 00:33:00,2026-04-22 00:33:59,Q08,484.10,136.10,58.50,65.80,90.30,26.50,16.06,483.40,134.80,53.80,64.70,84.60,28.90,19.80,483.20,121.60,49.90,58.40,86.70,31.50,16.40,483.57,130.83,162.20,188.90,87.20,28.97,52.26
2026-04-22 00:34:00,2026-04-22 00:34:59,Q08,483.90,149.90,64.60,72.00,91.80,26.90,16.29,483.80,151.00,62.60,72.90,87.30,28.60,20.23,482.60,136.80,57.20,65.60,88.30,30.50,17.46,483.43,145.90,184.40,210.50,89.13,28.67,53.97
2026-04-22 00:35:00,2026-04-22 00:35:59,Q08,485.30,144.90,62.80,69.80,91.90,24.50,15.80,482.70,147.50,60.20,70.90,86.20,26.70,20.37,483.50,132.00,54.80,63.80,87.80,29.30,16.89,483.83,141.47,177.80,204.50,88.63,26.83,53.06
2026-04-22 00:36:00,2026-04-22 00:36:59,Q08,485.70,149.30,64.80,72.30,90.60,26.10,17.43,483.80,151.80,61.90,72.90,86.70,27.90,20.74,482.30,139.50,56.80,67.00,86.90,29.20,18.74,483.93,146.87,183.50,212.20,88.07,27.73,56.91
2026-04-22 00:37:00,2026-04-22 00:37:59,Q08,485.20,143.00,62.10,69.40,90.10,25.70,17.20,482.80,141.10,56.30,68.00,84.10,28.60,21.20,483.70,125.40,51.60,60.40,86.70,30.60,17.31,483.90,136.50,170.00,197.80,86.97,28.30,55.71
2026-04-22 00:38:00,2026-04-22 00:38:59,Q08,484.40,135.90,57.80,65.30,89.90,23.70,16.37,483.50,137.80,54.80,66.20,83.50,25.30,20.80,482.60,119.70,47.90,57.40,84.80,27.80,17.46,483.50,131.13,160.50,188.90,86.07,25.60,54.63
2026-04-22 00:39:00,2026-04-22 00:39:59,Q08,483.00,151.50,65.50,72.90,91.60,21.60,16.74,482.90,153.40,63.50,73.70,87.20,23.80,20.86,481.00,138.90,57.40,66.40,87.70,24.90,18.23,482.30,147.93,186.40,213.00,88.83,23.43,55.83
2026-04-22 00:40:00,2026-04-22 00:40:59,Q08,483.10,130.90,53.90,62.80,87.70,23.90,17.37,483.10,128.30,51.20,61.80,84.20,25.60,19.17,480.90,119.60,48.50,57.10,85.50,27.10,17.31,482.37,126.27,153.60,181.70,85.80,25.53,53.86
2026-04-22 00:41:00,2026-04-22 00:41:59,Q08,484.40,125.70,53.40,60.50,89.10,22.80,15.80,482.30,131.40,52.30,63.10,83.60,24.30,19.74,480.80,114.50,44.80,54.70,83.40,25.80,17.49,482.50,123.87,150.50,178.30,85.37,24.30,53.03
2026-04-22 00:42:00,2026-04-22 00:42:59,Q08,484.20,128.50,54.30,62.00,89.60,24.00,15.69,481.30,132.00,52.30,63.50,83.70,25.30,20.09,481.90,117.10,46.50,56.30,83.50,27.00,17.54,482.47,125.87,153.10,181.80,85.60,25.43,53.31
2026-04-22 00:43:00,2026-04-22 00:43:59,Q08,483.40,118.60,48.70,57.00,87.50,22.90,15.97,481.80,120.80,45.60,57.70,80.70,25.00,19.66,482.50,105.30,41.00,50.60,82.20,26.40,16.63,482.57,114.90,135.30,165.30,83.47,24.77,52.26
2026-04-22 00:44:00,2026-04-22 00:44:59,Q08,483.20,116.90,48.70,56.00,87.30,25.20,16.03,482.90,121.00,47.60,58.30,82.10,26.40,19.17,482.10,108.00,42.60,52.10,82.10,28.20,17.26,482.73,115.30,138.90,166.40,83.83,26.60,52.46
2026-04-22 00:45:00,2026-04-22 00:45:59,Q08,482.80,126.70,53.40,60.70,89.40,21.70,15.74,482.80,131.50,52.30,63.10,83.20,22.50,19.94,480.80,114.60,44.80,54.70,83.70,25.00,17.20,482.13,124.27,150.50,178.50,85.43,23.07,52.89
2026-04-22 00:46:00,2026-04-22 00:46:59,Q08,484.50,128.50,54.30,62.00,89.20,23.70,16.46,481.60,130.90,51.50,62.50,83.60,25.90,20.00,480.60,117.40,47.60,56.20,85.10,27.00,17.09,482.23,125.60,153.40,180.70,85.97,25.53,53.54
