Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,avgKw,avgKva,avgPf,avgTHD,avgKvar,peakKva,peakKw
2026-04-14 16:30:00,2026-04-14 16:44:59,Q09,461.50,298.70,128.80,137.40,94.30,34.80,26.71,466.30,294.80,130.10,137.00,95.80,35.50,22.60,463.80,304.10,133.00,140.80,95.20,33.40,24.40,463.87,299.20,391.90,415.20,95.10,34.57,73.71,415.20,391.90
2026-04-14 16:30:00,2026-04-14 16:44:59,Main PF,266.00,1015.30,244.80,270.00,91.70,28.40,112.37,266.70,1044.90,254.80,277.70,92.40,28.40,111.77,268.10,1053.70,259.40,282.20,92.30,28.40,111.46,266.93,1037.97,759.00,829.90,92.13,28.40,335.60,829.90,759.00
2026-04-14 16:30:00,2026-04-14 16:44:59,Q12,463.70,245.30,107.30,113.40,95.10,47.90,19.71,464.30,249.60,111.60,115.50,97.10,48.90,15.23,463.30,255.30,112.10,118.10,95.80,45.50,18.71,463.77,250.07,331.00,347.00,96.00,47.43,53.66,347.00,331.00
2026-04-14 16:45:00,2026-04-14 16:59:59,PQM,257.08,1034.82,243.63,266.59,91.38,31.57,67.26,295.25,1053.60,279.50,311.47,89.73,32.58,96.81,260.42,1064.92,236.89,277.73,85.29,31.92,112.54,270.91,1051.11,760.02,855.79,88.80,32.03,276.62,880.38,779.28
2026-04-14 16:45:00,2026-04-14 16:59:59,Q08,468.83,116.97,53.53,54.56,99.90,7.17,-0.25,468.55,114.73,52.35,53.49,99.90,7.49,-0.46,467.85,114.21,52.09,53.13,99.90,6.74,0.32,468.41,115.30,157.98,161.17,99.90,7.13,-0.39,170.90,167.20
2026-04-14 16:45:00,2026-04-14 16:59:59,Main PF,268.90,993.55,242.05,266.44,91.39,29.85,113.11,268.72,1031.51,253.29,276.64,92.08,30.47,113.14,270.29,1026.23,252.31,276.95,91.89,29.48,112.58,269.30,1017.10,747.65,820.03,91.78,29.93,338.83,840.60,767.20
2026-04-14 16:45:00,2026-04-14 16:59:59,Q12,467.67,244.47,107.83,114.05,95.11,49.37,19.28,469.62,250.76,113.43,117.41,97.20,50.09,14.87,466.59,255.88,112.75,119.16,95.44,47.12,19.45,467.96,250.37,334.01,350.61,95.92,48.86,53.59,354.30,337.80
2026-04-14 16:45:00,2026-04-14 16:59:59,Q09,466.41,296.43,129.16,137.91,94.43,34.72,26.22,470.82,295.73,132.05,138.84,95.97,35.34,22.23,467.14,297.51,130.97,138.60,95.09,33.31,24.75,468.12,296.56,392.18,415.35,95.16,34.46,73.20,420.40,396.60
2026-04-14 17:00:00,2026-04-14 17:14:59,Q09,467.29,295.46,128.91,137.75,94.49,36.33,25.89,471.97,296.87,133.73,139.73,96.09,37.03,21.76,468.49,299.37,132.43,139.99,95.17,34.83,24.44,469.25,297.23,395.06,417.46,95.25,36.06,72.09,425.00,402.90
2026-04-14 17:00:00,2026-04-14 17:14:59,PQM,257.86,928.08,221.50,239.72,92.45,32.23,48.99,296.19,943.84,254.81,279.97,91.07,33.25,73.88,261.17,952.97,217.33,249.39,87.23,32.71,89.77,271.74,941.63,693.63,769.07,90.25,32.73,212.63,855.34,760.22
2026-04-14 17:00:00,2026-04-14 17:14:59,Q08,470.46,114.45,52.48,53.58,99.90,7.19,-0.27,469.95,113.76,52.08,53.19,99.90,7.44,-0.46,469.25,112.40,51.48,52.51,99.90,7.08,0.62,469.89,113.54,156.04,159.28,99.90,7.24,-0.11,178.40,175.20
2026-04-14 17:00:00,2026-04-14 17:14:59,Main PF,269.52,890.94,222.45,239.48,93.53,30.44,88.05,269.46,926.61,232.27,249.16,93.99,31.10,88.37,270.82,919.14,231.44,248.37,93.86,30.02,87.99,269.93,912.23,686.16,737.01,93.80,30.52,264.41,823.40,753.60
2026-04-14 17:00:00,2026-04-14 17:14:59,Q12,468.91,247.54,108.87,115.76,94.98,53.69,19.36,470.51,255.36,115.68,119.81,97.18,53.69,14.91,467.87,261.02,115.29,121.84,95.26,51.17,19.87,469.10,254.64,339.84,357.41,95.81,52.85,54.14,363.20,344.20
2026-04-14 17:15:00,2026-04-14 17:29:59,PQM,258.21,871.71,209.45,225.09,93.05,32.19,40.67,296.52,886.07,240.51,262.28,91.70,33.30,64.06,261.43,893.07,205.68,233.32,88.16,32.78,78.97,272.05,883.62,655.64,720.69,90.97,32.76,183.69,743.45,676.90
