Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-01-17 00:00:00,2026-01-17 00:00:59,Meter 1,216.02,58.17,6.88,7.17,100.00,0.00,-0.07,215.98,49.85,5.97,6.25,99.94,0.00,0.21,215.35,56.32,6.67,7.04,99.27,0.00,0.81,215.78,54.78,19.52,20.47,99.73,0.00,0.96
2026-01-17 00:01:00,2026-01-17 00:01:59,Meter 1,216.22,56.60,6.28,6.99,99.97,0.00,0.15,216.03,52.30,5.87,6.56,99.36,0.00,0.67,215.53,64.61,7.01,8.08,96.82,0.00,1.81,215.93,57.84,19.16,21.63,98.72,0.00,2.63
2026-01-17 00:02:00,2026-01-17 00:02:59,Meter 1,216.32,55.30,5.56,6.83,98.84,0.00,0.85,216.08,50.61,5.69,6.35,95.11,0.00,1.85,215.64,62.45,6.33,7.81,93.16,0.00,2.47,216.01,56.12,17.57,21.00,95.70,0.00,5.17
2026-01-17 00:03:00,2026-01-17 00:03:59,Meter 1,216.35,57.59,5.47,7.11,97.39,0.00,1.27,216.42,49.63,5.46,6.24,91.20,0.00,2.46,215.42,59.53,5.50,7.45,88.97,0.00,2.82,216.06,55.58,16.43,20.79,92.52,0.00,6.55
2026-01-17 00:04:00,2026-01-17 00:04:59,Meter 1,216.41,59.42,6.69,7.34,99.92,0.00,0.26,216.39,63.14,7.52,7.94,98.12,0.00,1.48,215.71,53.71,6.08,6.73,96.41,0.00,1.67,216.17,58.76,20.28,22.00,98.15,0.00,3.41
2026-01-17 00:05:00,2026-01-17 00:05:59,Meter 1,216.28,76.00,8.36,9.38,99.88,0.00,0.42,216.55,61.54,7.17,7.74,99.40,0.00,0.79,215.62,57.19,6.14,7.16,99.26,0.00,0.75,216.15,64.91,21.66,24.28,99.51,0.00,1.96
2026-01-17 00:06:00,2026-01-17 00:06:59,Meter 1,216.37,56.82,6.09,7.02,99.52,0.00,0.60,216.71,57.10,6.66,7.18,99.63,0.00,0.58,215.77,52.71,5.39,6.61,99.94,0.00,0.19,216.28,55.54,18.15,20.81,99.70,0.00,1.37
2026-01-17 00:07:00,2026-01-17 00:07:59,Meter 1,215.94,61.16,6.50,7.55,99.62,0.00,0.57,216.38,61.58,7.29,7.73,98.93,0.00,1.07,215.79,51.58,5.49,6.46,99.88,0.00,0.27,216.04,58.11,19.29,21.74,99.48,0.00,1.91
2026-01-17 00:08:00,2026-01-17 00:08:59,Meter 1,216.02,54.74,5.95,6.76,99.29,0.00,0.71,216.45,55.93,6.59,7.02,99.51,0.00,0.66,215.81,50.19,5.34,6.29,100.00,0.00,-0.01,216.09,53.62,17.88,20.07,99.60,0.00,1.36
2026-01-17 00:09:00,2026-01-17 00:09:59,Meter 1,216.05,66.81,6.97,8.25,98.78,0.00,1.10,216.43,47.39,5.31,5.95,98.95,0.00,0.77,215.96,57.73,5.45,7.24,100.00,0.00,0.02,216.15,57.31,17.73,21.44,99.25,0.00,1.89
2026-01-17 00:10:00,2026-01-17 00:10:59,Meter 1,215.98,73.32,8.83,9.06,99.36,0.00,1.00,216.24,43.95,5.24,5.51,99.63,0.00,0.45,216.16,47.30,5.61,5.93,99.48,0.00,0.58,216.12,54.86,19.68,20.50,99.49,0.00,2.03
2026-01-17 00:11:00,2026-01-17 00:11:59,Meter 1,216.05,79.35,8.66,9.80,96.39,0.00,2.39,216.01,44.08,4.79,5.53,92.32,0.00,2.00,215.90,51.64,5.01,6.46,95.87,0.00,1.49,215.99,58.36,18.47,21.79,94.86,0.00,5.88
2026-01-17 00:12:00,2026-01-17 00:12:59,Meter 1,215.99,66.41,7.89,8.20,99.49,0.00,0.80,216.20,47.48,5.53,5.95,99.62,0.00,0.48,216.05,58.84,6.74,7.37,98.96,0.00,0.98,216.08,57.58,20.17,21.53,99.36,0.00,2.26
