Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,l3Kvar,avgVolt,avgAmp,totalKw,totalKva,avgPf,avgTHD,totalKvar
2026-01-20 08:12:00,2026-01-20 08:12:59,XPQ-01 Main,469.06,1281.53,270.20,344.54,78.43,0.00,213.72,469.44,1303.11,278.92,355.80,78.44,0.00,220.58,468.73,1275.74,261.17,345.20,75.70,0.00,225.40,469.08,1286.79,810.29,1045.54,77.52,0.00,659.70
2026-01-20 08:13:00,2026-01-20 08:13:59,XPQ-01 Main,469.65,1199.97,251.71,322.83,78.05,0.00,201.64,470.05,1204.75,258.26,329.47,78.51,0.00,203.75,468.95,1193.80,246.34,323.26,76.25,0.00,209.05,469.55,1199.51,756.31,975.56,77.60,0.00,614.44
2026-01-20 08:14:00,2026-01-20 08:14:59,XPQ-01 Main,468.91,1266.53,269.57,340.22,79.25,0.00,207.44,469.27,1283.04,279.85,350.29,79.92,0.00,210.46,468.21,1270.58,265.06,343.50,77.20,0.00,218.22,468.80,1273.38,814.49,1034.01,78.79,0.00,636.11
2026-01-20 08:15:00,2026-01-20 08:15:59,XPQ-01 Main,469.66,1288.70,276.45,346.69,79.84,0.00,208.46,469.61,1307.95,283.57,357.53,79.50,0.00,216.39,468.68,1274.87,265.92,344.87,77.20,0.00,218.93,469.31,1290.51,825.94,1049.09,78.85,0.00,643.78
2026-01-20 08:16:00,2026-01-20 08:16:59,XPQ-01 Main,467.98,1358.67,282.77,364.17,77.76,0.00,228.61,468.14,1372.29,290.89,373.87,77.98,0.00,233.54,467.11,1351.81,275.17,364.56,75.59,0.00,238.34,467.74,1360.92,848.82,1102.61,77.11,0.00,700.49
2026-01-20 08:17:00,2026-01-20 08:17:59,XPQ-01 Main,466.76,1438.71,308.29,384.68,80.21,0.00,229.51,467.16,1463.78,319.39,397.82,80.35,0.00,236.66,466.15,1436.68,299.97,386.73,77.66,0.00,243.32,466.69,1446.39,927.65,1169.23,79.41,0.00,709.49
2026-01-20 08:18:00,2026-01-20 08:18:59,XPQ-01 Main,468.77,1533.91,329.34,411.89,80.02,0.00,246.80,469.45,1557.89,341.62,425.35,80.38,0.00,252.83,468.27,1535.01,322.14,415.21,77.68,0.00,261.15,468.83,1542.27,993.10,1252.45,79.36,0.00,760.78
2026-01-20 08:19:00,2026-01-20 08:19:59,XPQ-01 Main,469.04,1533.51,326.89,411.84,79.50,0.00,249.42,469.80,1553.95,338.12,424.65,79.76,0.00,255.74,468.26,1529.71,319.13,413.89,77.15,0.00,263.15,469.03,1539.06,984.14,1250.37,78.80,0.00,768.31
2026-01-20 08:20:00,2026-01-20 08:20:59,XPQ-01 Main,469.10,1518.09,326.73,407.98,80.21,0.00,243.29,469.51,1544.52,337.15,421.86,80.02,0.00,252.69,468.52,1509.30,315.90,408.33,77.47,0.00,257.86,469.04,1523.97,979.78,1238.17,79.23,0.00,753.84
2026-01-20 08:21:00,2026-01-20 08:21:59,XPQ-01 Main,468.69,1596.89,346.15,428.89,80.81,0.00,252.33,469.53,1618.97,353.83,441.95,80.16,0.00,263.90,468.55,1573.76,331.89,425.94,78.05,0.00,265.88,468.93,1596.54,1031.88,1296.78,79.67,0.00,782.11
2026-01-20 08:22:00,2026-01-20 08:22:59,XPQ-01 Main,468.73,1523.13,323.77,408.90,79.22,0.00,249.43,469.76,1547.55,336.89,422.68,79.77,0.00,254.67,468.27,1528.41,317.96,413.60,76.95,0.00,263.85,468.92,1533.03,978.62,1245.18,78.65,0.00,767.95
2026-01-20 08:23:00,2026-01-20 08:23:59,XPQ-01 Main,469.44,1524.11,326.15,409.76,79.66,0.00,247.51,470.05,1553.54,337.27,424.78,79.48,0.00,257.49,468.70,1515.03,314.96,410.20,76.80,0.00,262.68,469.40,1530.90,978.38,1244.73,78.65,0.00,767.68
2026-01-20 08:24:00,2026-01-20 08:24:59,XPQ-01 Main,467.61,1525.00,324.36,408.49,79.58,0.00,246.78,468.82,1548.58,333.30,422.01,79.25,0.00,256.47,467.37,1509.74,312.69,407.81,76.89,0.00,259.99,467.93,1527.77,970.35,1238.30,78.58,0.00,763.24
2026-01-20 08:25:00,2026-01-20 08:25:59,XPQ-01 Main,468.78,1571.35,335.59,421.90,79.56,0.00,255.56,469.64,1595.96,349.27,435.86,80.18,0.00,260.33,468.21,1577.47,330.13,426.76,77.42,0.00,269.93,468.88,1581.59,1014.99,1284.51,79.05,0.00,785.81
2026-01-20 08:26:00,2026-01-20 08:26:59,XPQ-01 Main,469.46,1510.44,317.69,406.04,78.36,0.00,251.89,470.10,1534.26,330.71,419.57,78.94,0.00,257.14,468.64,1515.50,311.76,410.30,76.07,0.00,266.05,469.40,1520.07,960.16,1235.92,77.79,0.00,775.08
2026-01-20 08:27:00,2026-01-20 08:27:59,XPQ-01 Main,470.85,1300.27,263.39,350.89,75.16,0.00,231.12,471.39,1312.48,266.63,359.80,74.21,0.00,240.86,470.58,1274.21,249.70,346.22,72.23,0.00,239.10,470.94,1295.66,779.72,1056.90,73.87,0.00,711.08
2026-01-20 08:28:00,2026-01-20 08:28:59,XPQ-01 Main,471.13,1294.46,252.81,349.27,72.57,0.00,239.67,471.56,1306.58,261.34,358.49,73.12,0.00,243.85,470.28,1292.67,246.42,351.07,70.39,0.00,248.64,470.99,1297.90,760.57,1058.83,72.03,0.00,732.16
2026-01-20 08:29:00,2026-01-20 08:29:59,XPQ-01 Main,469.27,1484.48,312.88,399.01,78.54,0.00,246.59,469.78,1494.35,316.97,408.41,77.72,0.00,256.65,468.64,1454.57,298.42,393.68,75.92,0.00,255.82,469.23,1477.80,928.26,1201.10,77.39,0.00,759.07
2026-01-20 08:30:00,2026-01-20 08:30:59,XPQ-01 Main,471.57,1247.10,259.38,336.78,77.30,0.00,212.85,471.81,1256.77,267.22,345.09,77.69,0.00,216.56,470.61,1242.81,253.16,337.71,75.20,0.00,221.90,471.33,1248.89,779.76,1019.59,76.73,0.00,651.31
2026-01-20 08:31:00,2026-01-20 08:31:59,XPQ-01 Main,471.17,1308.54,277.90,353.21,78.90,0.00,216.42,471.44,1331.96,286.97,365.37,78.74,0.00,224.66,470.52,1301.12,268.04,353.45,76.05,0.00,228.83,471.04,1313.87,832.92,1072.02,77.90,0.00,669.90
2026-01-20 08:32:00,2026-01-20 08:32:59,XPQ-01 Main,470.68,1311.01,272.27,353.36,77.09,0.00,224.93,471.28,1334.00,284.29,365.75,77.81,0.00,229.48,469.85,1318.06,267.01,357.73,74.71,0.00,237.58,470.60,1321.02,823.57,1076.84,76.54,0.00,691.99
2026-01-20 08:33:00,2026-01-20 08:33:59,XPQ-01 Main,472.29,1229.51,259.77,332.59,78.20,0.00,207.06,472.49,1247.78,265.10,343.10,77.38,0.00,216.99,471.39,1208.95,246.90,329.03,75.13,0.00,216.90,472.06,1228.75,771.78,1004.72,76.90,0.00,640.96
2026-01-20 08:34:00,2026-01-20 08:34:59,XPQ-01 Main,473.00,1151.15,231.95,311.90,74.43,0.00,208.11,473.12,1165.92,238.16,321.04,74.29,0.00,214.61,472.13,1141.28,222.76,311.04,71.68,0.00,216.68,472.75,1152.78,692.87,943.99,73.47,0.00,639.40
2026-01-20 08:35:00,2026-01-20 08:35:59,XPQ-01 Main,473.46,1150.41,233.06,312.00,74.75,0.00,207.11,473.59,1167.91,239.90,321.90,74.65,0.00,213.81,472.59,1143.21,224.03,311.88,71.92,0.00,216.41,473.21,1153.84,696.99,945.78,73.78,0.00,637.33
2026-01-20 08:36:00,2026-01-20 08:36:59,XPQ-01 Main,471.45,1350.07,286.15,364.62,78.92,0.00,222.64,471.78,1369.18,292.84,375.83,78.38,0.00,231.99,470.76,1332.27,273.94,362.13,76.08,0.00,233.67,471.33,1350.51,852.93,1102.57,77.80,0.00,688.30
2026-01-20 08:37:00,2026-01-20 08:37:59,XPQ-01 Main,472.79,1278.31,270.91,346.24,78.31,0.00,215.12,473.32,1299.65,276.23,357.82,77.31,0.00,226.65,472.23,1254.54,256.39,342.12,75.05,0.00,225.78,472.78,1277.50,803.53,1046.19,76.89,0.00,667.54
2026-01-20 08:38:00,2026-01-20 08:38:59,XPQ-01 Main,473.74,1286.73,271.97,349.23,78.04,0.00,217.91,474.15,1308.07,279.66,360.82,77.70,0.00,226.60,473.12,1275.84,261.00,348.54,75.11,0.00,229.41,473.67,1290.22,812.63,1058.59,76.95,0.00,673.92
2026-01-20 08:39:00,2026-01-20 08:39:59,XPQ-01 Main,476.35,1095.88,238.17,299.08,79.68,0.00,180.61,476.34,1115.19,244.33,309.18,79.10,0.00,189.01,475.53,1082.77,227.44,297.16,76.62,0.00,190.75,476.08,1097.95,709.94,905.42,78.47,0.00,560.37
2026-01-20 08:40:00,2026-01-20 08:40:59,XPQ-01 Main,475.83,1123.82,238.63,306.39,77.92,0.00,191.96,476.57,1128.08,244.94,312.64,78.49,0.00,193.35,475.43,1119.66,234.25,307.44,76.30,0.00,198.45,475.94,1123.85,717.82,926.48,77.57,0.00,583.76
2026-01-20 08:41:00,2026-01-20 08:41:59,XPQ-01 Main,476.50,1101.44,238.72,300.55,79.52,0.00,182.03,476.98,1110.36,244.08,308.17,79.40,0.00,186.91,475.61,1088.66,230.82,299.04,77.27,0.00,189.61,476.36,1100.16,713.62,907.76,78.73,0.00,558.55
2026-01-20 08:42:00,2026-01-20 08:42:59,XPQ-01 Main,475.60,1126.99,240.10,307.09,78.20,0.00,191.35,475.99,1131.74,246.21,313.39,78.63,0.00,193.47,474.97,1121.26,234.72,307.48,76.40,0.00,198.20,475.52,1126.66,721.03,927.97,77.75,0.00,583.02
2026-01-20 08:43:00,2026-01-20 08:43:59,XPQ-01 Main,475.99,1136.32,240.44,309.81,77.63,0.00,195.25,476.62,1138.55,247.61,315.66,78.50,0.00,195.41,475.34,1135.57,237.52,311.76,76.24,0.00,201.58,475.98,1136.81,725.57,937.23,77.46,0.00,592.24
2026-01-20 08:44:00,2026-01-20 08:44:59,XPQ-01 Main,476.02,1082.56,228.60,295.02,77.55,0.00,186.13,476.43,1083.74,234.99,300.49,78.27,0.00,186.85,474.92,1078.76,224.96,295.91,76.04,0.00,192.11,475.79,1081.68,688.55,891.42,77.29,0.00,565.09
2026-01-20 08:45:00,2026-01-20 08:45:59,XPQ-01 Main,476.13,1119.29,243.25,305.41,79.68,0.00,184.44,476.37,1130.03,249.83,313.18,79.87,0.00,188.24,475.62,1113.11,236.68,305.58,77.56,0.00,192.60,476.04,1120.81,729.76,924.17,79.04,0.00,565.28
2026-01-20 08:46:00,2026-01-20 08:46:59,XPQ-01 Main,476.64,1113.48,239.11,303.93,78.79,0.00,186.91,476.64,1119.03,246.51,310.51,79.48,0.00,188.23,475.52,1112.78,235.32,305.45,77.12,0.00,194.25,476.26,1115.10,720.94,919.88,78.46,0.00,569.39
2026-01-20 08:47:00,2026-01-20 08:47:59,XPQ-01 Main,476.40,1065.87,227.78,290.89,78.48,0.00,179.86,476.26,1079.00,234.59,299.15,78.60,0.00,184.52,475.44,1061.26,220.97,291.17,76.08,0.00,188.50,476.03,1068.71,683.34,881.21,77.72,0.00,552.88
