Start Time,End Time,Meter,l1Volt,l1Amp,l1Kw,l1Kva,l1Pf,l1THD,l1Kvar,l2Volt,l2Amp,l2Kw,l2Kva,l2Pf,l2THD,l2Kvar,l3Volt,l3Amp,l3Kw,l3Kva,l3Pf,l3THD,3Kvar,avgVolt,avgAmp,avgKw,avgKva,avgPf,avgTHD,avgKvar,peakKva,peakKw
2026-01-20 08:00:00,2026-01-20 08:14:59,XPQ-01 Main,469.21,1249.35,263.83,335.86,78.58,0.00,207.60,469.59,1263.63,272.34,345.19,78.96,0.00,211.60,468.63,1246.71,257.52,337.32,76.38,0.00,217.56,469.14,1253.23,793.69,1018.37,77.97,0.00,636.75,1045.54,814.49
2026-01-20 08:15:00,2026-01-20 08:29:59,XPQ-01 Main,469.02,1466.78,310.22,394.03,78.73,0.00,241.80,469.62,1487.51,319.80,406.31,78.72,0.00,249.28,468.42,1458.58,300.81,394.61,76.23,0.00,254.31,469.02,1470.96,930.82,1194.95,77.90,0.00,745.39,1296.78,1031.88
2026-01-20 08:30:00,2026-01-20 08:44:59,XPQ-01 Main,473.76,1198.66,252.53,325.19,77.76,0.00,203.96,474.13,1212.59,259.50,334.42,77.76,0.00,209.76,473.00,1189.65,244.20,324.83,75.32,0.00,213.19,473.63,1200.30,756.23,984.44,76.95,0.00,626.91,1102.57,852.93
2026-01-20 08:45:00,2026-01-20 08:59:59,XPQ-01 Main,477.57,949.83,202.11,259.89,77.84,0.00,162.78,477.78,960.50,208.96,266.98,78.38,0.00,165.45,476.98,950.10,197.65,261.52,75.68,0.00,170.53,477.44,953.48,608.73,788.39,77.30,0.00,498.77,924.17,729.76
2026-01-20 09:00:00,2026-01-20 09:14:59,XPQ-01 Main,475.82,987.23,210.21,269.06,78.24,0.00,167.14,476.19,1004.20,218.25,278.09,78.68,0.00,171.32,475.30,988.87,205.05,271.24,75.75,0.00,176.71,475.77,993.43,633.52,818.39,77.55,0.00,515.17,990.53,778.01
2026-01-20 09:15:00,2026-01-20 09:29:59,XPQ-01 Main,472.68,1246.82,265.85,337.52,78.95,0.00,206.52,473.43,1273.53,276.53,350.63,79.13,0.00,213.65,472.08,1247.70,258.53,340.22,76.19,0.00,219.81,472.73,1256.01,800.91,1028.36,78.09,0.00,639.98,1112.26,882.26
2026-01-20 09:30:00,2026-01-20 09:44:59,XPQ-01 Main,470.76,1341.12,285.60,361.64,79.09,0.00,220.55,471.70,1370.11,296.46,375.76,79.06,0.00,229.27,470.37,1338.39,276.70,363.70,76.18,0.00,235.00,470.94,1349.88,858.76,1101.09,78.11,0.00,684.82,1230.79,953.26
2026-01-20 09:45:00,2026-01-20 09:59:59,XPQ-01 Main,470.41,1413.68,297.19,380.84,78.11,0.00,237.07,471.37,1451.42,311.51,397.81,78.44,0.00,246.04,469.88,1421.58,289.43,385.97,75.08,0.00,254.34,470.55,1428.90,898.13,1164.63,77.21,0.00,737.45,1329.37,1044.67
2026-01-20 10:00:00,2026-01-20 10:14:59,XPQ-01 Main,468.58,1675.62,364.54,449.63,81.17,0.00,262.32,469.72,1719.57,379.71,469.58,80.99,0.00,274.96,468.13,1673.46,353.11,452.82,78.09,0.00,282.51,468.81,1689.55,1097.36,1372.03,80.08,0.00,819.79,1429.16,1134.96
2026-01-20 10:15:00,2026-01-20 10:29:59,XPQ-01 Main,468.95,1646.21,358.16,442.04,81.12,0.00,258.14,470.13,1691.05,373.28,462.17,80.91,0.00,271.22,468.46,1644.06,346.62,445.19,77.97,0.00,278.39,469.18,1660.44,1078.05,1349.40,80.00,0.00,807.74,1414.88,1132.59
2026-01-20 10:30:00,2026-01-20 10:44:59,XPQ-01 Main,470.47,1552.06,340.39,418.08,81.48,0.00,241.82,471.80,1594.40,355.42,437.26,81.38,0.00,253.48,470.00,1552.81,330.54,421.92,78.42,0.00,261.23,470.76,1566.42,1026.35,1277.27,80.43,0.00,756.53,1361.84,1089.67
2026-01-20 10:45:00,2026-01-20 10:59:59,XPQ-01 Main,472.69,1244.20,260.99,336.84,77.56,0.00,211.31,473.96,1275.03,273.16,351.25,77.92,0.00,218.71,472.39,1251.20,254.64,341.57,74.68,0.00,225.87,473.01,1256.81,788.79,1029.65,76.72,0.00,655.88,1143.96,888.02
2026-01-20 11:00:00,2026-01-20 11:14:59,XPQ-01 Main,471.39,1442.39,308.65,389.26,79.84,0.00,233.29,472.68,1477.67,322.47,405.94,80.03,0.00,242.02,470.95,1447.27,301.24,393.91,76.98,0.00,250.16,471.68,1455.78,932.36,1189.12,78.95,0.00,725.46,1496.53,1046.36
